城市名,起点名称,起点经纬度,终点名称,终点经纬度,开车,公共交通
北京市,文慧园路2号院,"116.370961,39.952465",史家小学遂安伯校区,"116.424343,39.916126",23,42
北京市,元玺,"116.165802,39.91264",永辉广场,"116.231931,39.894154",14,48
北京市,海淀九号,"116.298509,39.890478",北京市东城区第一人民医院,"116.401276,39.864505",20,45
北京市,光泽胡同,"116.374022,39.943105",北京第一师范学校附属小学东校区,"116.416066,39.866297",35,51
北京市,龙湖·御湖境二期,"116.652208,40.134007",北京中医医院(顺义医院),"116.65443,40.209128",18,49
北京市,颐瑞府,"116.676483,39.865588",通州医院,"116.696819,39.933594",23,59
北京市,民生花园,"116.660942,40.110994",北京市顺义区第五中学,"116.669066,40.162667",15,47
北京市,五矿铭品长虹东路6号院,"116.09387,39.728372",阎村镇后沿村完全小学,"116.191776,39.72117",20,34
北京市,珠江帝景E区,"116.462892,39.842248",北京市第八十中学(睿实分校),"116.484238,39.887901",19,41
北京市,NAGA上院,"116.416066,39.866297",北京第一师范学校附属小学东校区,"116.427696,39.942078",31,46
北京市,珠江帝景C区,"116.416066,39.866297",北京第一师范学校附属小学东校区,"116.484149,39.88946",23,42
北京市,中信城四期五期,"116.378903,39.88449",史家小学遂安伯校区,"116.424343,39.916126",32,40
北京市,搜宝商务中心,"116.302114,39.858539",亿潼隆丰益购物中心,"116.367904,39.855146",13,35
北京市,北京半岛,"116.064627,39.736652",房山区四〇一学校,"116.075055,39.798777",25,89
北京市,望河园,"116.213305,39.906086",北京市石景山医院,"116.292751,39.942596",21,50
北京市,金隅长安山麓,"116.238576,39.923522",北京市第十二中学(体育分校),"116.287622,39.854543",21,48
北京市,百万庄大街13号院,"116.350141,39.928618",北京市东城区第一人民医院,"116.401276,39.864505",22,56
北京市,恒基·天汇,"116.436968,40.07121",北京天苑医院,"116.533728,40.053039",23,84
北京市,缦云ONE,"116.653131,39.916267",手机电脑城,"116.730343,39.943572",16,44
北京市,越秀·星樾,"116.308254,40.111424",和悦城生活广场,"116.347591,40.032861",21,42
北京市,东恒时代三期,"116.50214,39.911838",北岸商业广场,"116.581349,39.913497",19,40
北京市,旗舰凯旋,"116.645613,39.876699",北京华联武夷购物中心,"116.700163,39.918693",25,66
北京市,中骏云景台,"116.14503,39.681641",北京市房山区昊天外国语学校,"116.152827,39.726819",16,44
北京市,马连道中里一区,"116.287622,39.854543",北京市第十二中学(体育分校),"116.331147,39.887177",20,38
北京市,白云时代,"116.339781,39.898324",北京市东城区第一人民医院,"116.401276,39.864505",18,40
北京市,金融街武夷·融御,"116.631551,39.912761",西马庄小学,"116.70558,39.916745",20,45
北京市,西山相府,"116.098073,39.95607",北京第二实验小学永定分校,"116.106145,39.910377",16,48
北京市,雁栖小镇（B区）,"116.634929,40.314993",万佳商城,"116.68322,40.384464",24,65
北京市,金地格林小镇6,"116.482462,39.798845",亦庄医院,"116.540243,39.748713",21,42
北京市,青年湖西里,"116.398359,39.954263",北京第一师范学校附属小学东校区,"116.416066,39.866297",37,52
北京市,御璟星城元启,"116.302114,39.858539",亿潼隆丰益购物中心,"116.347675,39.781987",24,54
北京市,壹亮马,"116.506615,39.965331",北岸商业广场,"116.581349,39.913497",32,57
北京市,甘露园南里一区,"116.513236,39.915263",北岸商业广场,"116.581349,39.913497",15,32
北京市,北科建翡翠华府,"116.630652,40.313131",北京中医药大学怀柔中医医院,"116.667375,40.349051",19,51
北京市,鸿运花园,"116.381343,39.9219",自忠小学分校,"116.424474,39.875604",25,51
北京市,中冶·德贤御府,"116.548011,39.914469",传媒附中,"116.579331,39.977172",20,69
北京市,北新桥三条,"116.356605,39.952958",枫蓝国际购物中心,"116.42548,39.943238",18,49
北京市,永定门东街东里,"116.412183,39.873536",解放军总医院第七医学中心东楼,"116.430518,39.929935",32,47
北京市,北京德贤华府,"116.309493,39.69757",北京仁和医院,"116.338131,39.741918",20,34
北京市,北京城建·龙樾天元,"116.266272,39.875302",阳春小学,"116.304701,39.79073",21,64
北京市,中航宿舍,"116.374318,39.913116",西单商场西单北大街店北区,"116.375789,39.971487",25,43
北京市,中海朝阳ONE,"116.416066,39.866297",北京第一师范学校附属小学东校区,"116.495643,39.842811",23,34
北京市,奥森春晓,"116.345593,40.092682",清华大学附属中学(奥森校区),"116.379451,40.02142",33,47
北京市,保利璟山和煦,"116.142585,39.928452",北京市石景山医院,"116.213305,39.906086",20,48
北京市,文慧园一号公寓,"116.361775,39.948939",史家小学遂安伯校区,"116.424343,39.916126",29,52
北京市,北京城建·国誉朝华,"116.630188,39.928422",北京华联武夷购物中心,"116.700163,39.918693",18,39
北京市,K2十里春风,"116.780962,39.671223",德仁务小学,"116.781261,39.598613",14,40
北京市,中铁·诺德阅墅,"116.48447,40.00154",清华大学附属中学望京学校,"116.49869,40.088459",26,45
北京市,中建学府印悦二期,"116.062204,39.711134",燕鹏商厦,"116.161013,39.724382",18,35
北京市,金宝城,"116.630335,40.134716",北京市顺义区第二中学,"116.663481,40.17762",17,49
北京市,建发·观云,"116.436968,40.07121",北京天苑医院,"116.542141,40.10832",26,37
北京市,阜成路甲3号院,"116.302114,39.858539",亿潼隆丰益购物中心,"116.327728,39.924418",25,36
北京市,永定路25号院,"116.263895,39.918354",北京第二实验小学(涭水河分校),"116.37648,39.900266",22,43
北京市,裕龙一区,"116.558259,40.099603",北京方舟医院,"116.667096,40.118823",24,53
北京市,京投发展檀香府,"116.055822,39.879195",北京市门头沟区医院,"116.101748,39.94553",25,65
北京市,华纺易城西区,"116.424343,39.916126",史家小学遂安伯校区,"116.513324,39.930002",29,55
北京市,越秀·星樾,"116.308254,40.111424",北京市十一学校(龙樾实验中学),"116.349413,40.044964",22,33
北京市,新悦家园,"116.228796,40.210427",北京汇鑫医院管理有限公司门诊,"116.30364,40.149259",21,55
北京市,北京城建·龙樾天元,"116.266272,39.875302",北京市玉渊潭中学,"116.322245,39.904512",20,37
北京市,葛洲坝北京中国府,"116.311642,39.84653",北京第一师范学校附属小学东校区,"116.416066,39.866297",23,51
北京市,润泽御府,"116.427751,40.056212",北京市朝阳区和平医院,"116.511372,40.023318",22,69
北京市,丰禾嘉会,"116.538904,39.75361",北京市通州区第一实验中学,"116.603486,39.784952",19,57
北京市,北京城建·星誉,"116.653343,40.184406",首都师范大学附属顺义实验小学,"116.662927,40.101582",23,59
北京市,中建璞园PARK,"116.548122,39.951675",金隅嘉品Mall,"116.560467,40.025943",26,49
北京市,世界城,"116.416066,39.866297",北京第一师范学校附属小学东校区,"116.451716,39.917744",27,46
北京市,梧桐山语,"116.244888,40.20097",北京龙山中医医院,"116.297946,40.223513",13,43
北京市,桥梁厂家属楼,"116.122552,40.13031",昌平区阳坊学校后白虎涧小学,"116.191271,40.186473",20,61
北京市,都市节奏,"116.213235,40.125837",海淀上庄苏宁易购(直营店),"116.234353,40.209985",20,82
北京市,西革新里104号,"116.391886,39.86675",史家小学遂安伯校区,"116.424343,39.916126",36,46
北京市,京原路68号院,"116.178764,39.893477",北京育英学校,"116.286236,39.911471",25,50
北京市,民生花园,"116.669066,40.162667",顺义区仁和第一人民医院,"116.67085,40.114906",17,60
北京市,中建·和颂九里,"116.213305,39.906086",北京市石景山医院,"116.237404,39.860449",20,51
北京市,融泽嘉园2号院,"116.266613,40.103261",北京大学第六医院北院,"116.310062,40.068645",16,59
北京市,博雅西园,"116.294796,40.025755",霍营中心小学,"116.359746,40.074943",26,43
北京市,朝阳壹号,"116.482462,39.798845",亦庄医院,"116.542162,39.857686",20,82
北京市,西山相府,"116.098073,39.95607",北京市海淀区香山小学,"116.205942,39.988565",29,87
北京市,机械工业学院家属院,"116.347609,40.036755",北京天苑医院,"116.436968,40.07121",26,56
北京市,双惠苑6号院,"116.47705,39.919726",北京市东方德才学校(金台里校区),"116.574685,39.904952",21,40
北京市,新风街甲1号,"116.377436,39.964522",北京市东方德才学校(金台里校区),"116.47705,39.919726",31,52
北京市,珠江四季悦城,"116.491391,39.793001",人大附中经开学校,"116.582623,39.760429",25,58
北京市,八里庄新区,"116.416066,39.866297",北京第一师范学校附属小学东校区,"116.500139,39.928589",33,56
北京市,丰台南路105号,"116.292474,39.841805",北京市东城区第一人民医院,"116.401276,39.864505",22,45
北京市,金泉时代广场,"116.415736,40.005696",解放军总医院第七医学中心东楼,"116.430518,39.929935",34,35
北京市,望京西园一区,"116.430518,39.929935",解放军总医院第七医学中心东楼,"116.475518,40.003912",29,64
北京市,中建宸园,"116.4644,40.048681",欧陆广场,"116.5475,40.066878",26,71
北京市,山屿西山著,"116.210778,40.048261",海淀上庄苏宁易购(直营店),"116.213235,40.125837",22,80
北京市,天赐良园二期,"116.585487,39.915142",朝阳区第二实验小学管庄校区(低部),"116.64393,39.927969",19,31
北京市,创新路2号院,"116.181584,40.217354",苏宁易购(绿海家园店),"116.240936,40.210801",15,61
北京市,台基厂头条10号院,"116.356605,39.952958",枫蓝国际购物中心,"116.415836,39.906136",33,50
北京市,印香山,"116.209449,39.952632",北京育英学校,"116.286236,39.911471",29,50
北京市,中绿东岳府,"116.47705,39.919726",北京市东方德才学校(金台里校区),"116.539086,39.858836",23,39
北京市,美树假日嘉园,"116.424774,40.105613",北京市朝阳区芳草地国际学校(德贤分校),"116.497316,40.061339",25,98
北京市,观承别墅（温榆8号）,"116.40034,40.153085",小汤山中心马坊小学,"116.494653,40.125657",22,95
北京市,邑上苑,"116.235637,40.22541",北京昌平博华京康医院,"116.292876,40.149967",25,45
北京市,期颐百年,"116.302114,39.858539",亿潼隆丰益购物中心,"116.338049,39.807177",20,38
北京市,金地·璟宸,"116.132865,39.74291",首都师范大学附属中学实验学校,"116.191135,39.77423",16,58
北京市,万科东庐,"116.567227,40.004533",北京市金盏学校,"116.631338,39.930347",22,66
北京市,北京庄园,"116.415303,40.17999",北京九华医院,"116.51916,40.214054",19,66
北京市,中海寰宇天下·天境,"116.110212,39.910916",Plus365购物中心(门头沟店),"116.169781,39.91266",16,40
北京市,中海丽金府,"116.336343,39.856536",特别特购物广场,"116.339698,39.937685",28,48
北京市,和悦璞云,"116.256984,39.516263",大中电器(榆辛路店),"116.334274,39.515011",15,77
北京市,恒富中街7号院,"116.294598,39.833876",北京市东城区第一人民医院,"116.401276,39.864505",21,49
北京市,金隅·花溪云锦,"116.694482,39.874388",手机电脑城,"116.730343,39.943572",21,80
北京市,蓝桥驿苑,"116.338131,39.741918",北京仁和医院,"116.40542,39.710931",20,62
北京市,枫丹壹号一期,"116.462892,39.842248",北京市第八十中学(睿实分校),"116.482549,39.785734",21,52
北京市,中海学府里,"116.226553,39.884685",北京市第十二中学(体育分校),"116.287622,39.854543",20,46
北京市,北京国贤府二期,"116.436968,40.07121",北京天苑医院,"116.440336,40.121105",14,48
北京市,玺萌壹号院,"116.363605,39.84719",北京中医药大学东方医院,"116.432243,39.864065",16,48
北京市,崔村一里,"116.195483,39.829704",西营完全小学,"116.223536,39.757663",21,79
北京市,果园西里,"116.767387,40.366261",十里堡镇水杨红小学,"116.828652,40.373593",13,42
北京市,金地格林小镇6,"116.491391,39.793001",人大附中经开学校,"116.540243,39.748713",21,54
北京市,翡翠四季B区,"116.482462,39.798845",亦庄医院,"116.585116,39.81812",16,47
北京市,建茗苑,"116.325191,39.872898",北京市东城区第一人民医院,"116.401276,39.864505",16,43
北京市,朝阳壹号,"116.47705,39.919726",北京市东方德才学校(金台里校区),"116.542162,39.857686",22,39
北京市,中铁兴创逸境,"116.347336,39.751274",北京市航天中学,"116.421996,39.804318",23,64
北京市,金隅望京云尚,"116.359746,40.074943",霍营中心小学,"116.464442,40.045204",35,39
北京市,南湖渠西里,"116.356605,39.952958",枫蓝国际购物中心,"116.455013,39.993711",24,54
北京市,原香小镇二区,"116.165231,39.756836",中国航天科工集团七三一医院,"116.170674,39.809157",19,60
北京市,金辰府,"116.426816,40.116774",北京市第四中学(顺义分校),"116.544116,40.115413",22,106
北京市,金海街36号院,"116.584502,39.983595",北京朝阳凯文学校,"116.639106,39.914486",23,70
北京市,和光悦府,"116.434845,40.037448",花家地实验小学朝来校区,"116.515333,40.004708",24,70
北京市,站前路11号,"116.244888,40.20097",北京龙山中医医院,"116.266786,40.125439",16,43
北京市,北京·东湾,"116.585487,39.915142",朝阳区第二实验小学管庄校区(低部),"116.645725,39.911426",19,47
北京市,小马厂西里,"116.339899,39.897218",北京市东城区第一人民医院,"116.401276,39.864505",17,49
北京市,时代芳群,"116.423486,39.864889",亦庄医院,"116.482462,39.798845",23,39
北京市,公园和御,"116.596489,40.051174",首都机场医院,"116.678863,40.100313",29,80
北京市,龙樾合玺,"116.518255,40.002997",欧陆广场,"116.5475,40.066878",28,65
北京市,中骏云景台,"116.14503,39.681641",北京市第三十五中学(房山分校),"116.210253,39.693997",14,73
北京市,石泉砖厂B4区,"116.087879,39.945062",北京长安天街,"116.12345,39.905343",17,48
北京市,夏都盈座,"116.467127,39.9967",北京市东方德才学校(金台里校区),"116.47705,39.919726",31,35
北京市,团结湖南里,"116.421541,39.998376",北京陈经纶中学嘉铭分校(欧陆校区),"116.462701,39.923891",30,36
北京市,炫彩嘉轩,"116.434845,40.037448",花家地实验小学朝来校区,"116.478003,40.002604",18,42
北京市,加州水郡一期,"116.149412,39.719017",北京瑞慈医院,"116.172306,39.766693",17,50
北京市,东关北里小区,"116.242962,40.227461",百善学校,"116.319782,40.172499",24,53
北京市,和平街十五区,"116.356605,39.952958",枫蓝国际购物中心,"116.431291,39.963914",19,39
北京市,中海寰宇天下·天境,"116.10073,39.947628",雨润发购物广场,"116.169781,39.91266",16,52
北京市,北京城建·国誉朝华,"116.584502,39.983595",北京朝阳凯文学校,"116.630188,39.928422",17,54
北京市,橡树湾文园,"116.302114,39.858539",亿潼隆丰益购物中心,"116.35517,39.789083",20,51
北京市,万寿路12号院,"116.296773,39.910647",北京第二实验小学(涭水河分校),"116.37648,39.900266",21,35
北京市,次渠北里二区,"116.488919,39.7965",大中电器(亦庄店),"116.576137,39.807722",21,47
北京市,硅谷ONE,"116.406755,40.110058",北京天苑医院,"116.436968,40.07121",16,53
北京市,翠福园,"116.584502,39.983595",北京朝阳凯文学校,"116.653152,39.945122",23,79
北京市,金茂北京国际社区,"116.653343,40.184406",首都师范大学附属顺义实验小学,"116.720566,40.211311",16,44
北京市,住总山澜赋,"115.902105,40.373121",百品尚购物中心,"115.966445,40.444732",17,41
北京市,西木樨园,"116.403026,39.857672",亦庄医院,"116.482462,39.798845",25,43
北京市,安慧里三区,"116.356605,39.952958",枫蓝国际购物中心,"116.409511,39.991682",17,42
北京市,北京润府,"116.500639,39.894702",垂杨柳中心小学金都分校低部,"116.554918,39.821509",23,48
北京市,新城投·御河园,"116.229103,39.760654",阳春小学,"116.304701,39.79073",16,59
北京市,冯村嘉园二区,"116.109556,39.908088",天成兴浩商业,"116.173854,39.923072",21,38
北京市,环卫宿舍,"116.223464,40.218096",路劲世界广场,"116.291906,40.206866",17,27
北京市,和光煦境,"116.47705,39.919726",北京市东方德才学校(金台里校区),"116.572652,39.925143",22,35
北京市,万科新里程55号院,"116.170674,39.809157",中国航天科工集团七三一医院,"116.188279,39.734939",26,82
北京市,农光里小区,"116.374374,39.931108",北京市第一五六中学,"116.464642,39.882029",39,45
北京市,厂甸11号院,"116.385254,39.89663",垂杨柳中心小学金都分校低部,"116.500639,39.894702",34,47
北京市,龙湖时代天街东区,"116.324128,39.686188",北京市大兴区兴华中学,"116.333765,39.755198",21,28
北京市,定福家园南里2号院,"116.568598,39.923299",西马庄小学,"116.631551,39.912761",20,32
北京市,管庄周井大院,"116.47705,39.919726",北京市东方德才学校(金台里校区),"116.583743,39.912452",23,37
北京市,塔院消夏园,"116.362032,39.978278",解放军总医院第七医学中心东楼,"116.430518,39.929935",38,50
北京市,香山煤厂街27号院,"116.19893,39.994347",国美电器(金源店),"116.288191,39.958852",23,59
北京市,北京青年城,"116.379451,40.02142",清华大学附属中学(奥森校区),"116.439083,40.030563",21,61
北京市,北京城建·宸知筑,"116.213305,39.906086",北京市石景山医院,"116.246064,39.868598",19,62
北京市,大苑海淀府,"116.241969,39.930743",展览路医院,"116.349001,39.937409",25,48
北京市,中海丽泽叁號院,"116.339698,39.937685",特别特购物广场,"116.339771,39.850982",28,50
北京市,亮马桥9号院,"116.430518,39.929935",解放军总医院第七医学中心东楼,"116.48978,39.959132",25,36
北京市,住总•芳华里,"116.636357,40.119402",首都师范大学附属顺义实验小学,"116.653343,40.184406",17,53
北京市,京玺,"116.353616,39.753031",北京市航天中学,"116.421996,39.804318",29,75
北京市,远洋源山春秋,"116.12345,39.905343",北京长安天街,"116.179802,39.942833",24,28
北京市,中海·萬吉玖序,"116.434845,40.037448",花家地实验小学朝来校区,"116.497767,39.962602",26,57
北京市,保利建工·嘉华天珺,"116.208851,40.038713",北京中法实验学校,"116.230648,40.087039",18,73
北京市,中海兴叁號院,"116.397929,39.880592",天桥百货商场,"116.428958,39.821646",18,32
北京市,京熙润府,"116.165653,39.727278",首都师范大学附属中学实验学校,"116.191135,39.77423",16,40
北京市,草桥欣园三区,"116.287622,39.854543",北京市第十二中学(体育分校),"116.357464,39.842349",16,37
北京市,中海公元里,"116.302114,39.858539",亿潼隆丰益购物中心,"116.378225,39.803323",21,39
北京市,苹果园三区,"116.181957,39.92958",北京教育学院附属丰台实验学校,"116.268584,39.886613",23,41
北京市,中建学府印悦二期,"116.161013,39.724382",中国航天科工集团七三一医院,"116.170674,39.809157",29,73
北京市,永定路1号院,"116.264372,39.925024",展览路医院,"116.349001,39.937409",21,50
北京市,中建T5未来住区,"116.469013,39.555309",苏宁易购(安定镇店),"116.49252,39.619212",14,45
北京市,真武庙三条一号院,"116.351546,39.90446",枫蓝国际购物中心,"116.356605,39.952958",20,38
北京市,中海甲叁號院,"116.286236,39.911471",北京育英学校,"116.299085,39.838225",22,47
北京市,净土胡同5号院,"116.401276,39.864505",北京市东城区第一人民医院,"116.401906,39.945662",39,50
北京市,中海兴叁號院,"116.401276,39.864505",北京市东城区第一人民医院,"116.428958,39.821646",16,36
北京市,和樾玉鸣,"116.293739,40.037944",北京科技会展中心精品购物中心,"116.324389,39.966443",28,46
北京市,越秀·天玥,"116.182016,39.933503",中国人民解放军总医院,"116.276578,39.904572",25,39
北京市,长安润璟,"116.198124,39.892367",亿潼隆丰益购物中心,"116.302114,39.858539",20,51
北京市,保利锦上二期,"116.545214,39.855914",北岸商业广场,"116.581349,39.913497",28,84
北京市,新城投·御河园,"116.229103,39.760654",北京小学大兴分校,"116.325481,39.739278",21,81
北京市,次渠北里,"116.488919,39.7965",大中电器(亦庄店),"116.572413,39.809507",20,59
北京市,雁栖小镇（B区）,"116.68322,40.384464",十里堡镇水杨红小学,"116.767387,40.366261",20,117
北京市,保利熙兆大厦,"116.319095,39.674909",北京市大兴区兴华中学,"116.333765,39.755198",25,40
北京市,紫金书院,"116.347591,40.032861",和悦城生活广场,"116.374615,40.076995",18,37
北京市,和樾望雲,"116.288191,39.958852",国美电器(金源店),"116.296166,40.038211",22,49
北京市,京玺,"116.298585,39.788441",北京市丰台区新北赋学校,"116.353616,39.753031",19,72
北京市,西山华府珑园,"116.283293,40.032084",北京大学第三医院,"116.36001,39.982728",41,65
北京市,民生花园,"116.669066,40.162667",顺义区石园小学,"116.700269,40.102902",20,76
北京市,怡锦园,"116.268584,39.886613",北京教育学院附属丰台实验学校,"116.291081,39.833615",13,33
北京市,北京苏活四区,"116.631819,40.074506",顺义区平安医院,"116.665293,40.128758",20,53
北京市,北京城建·宸知筑,"116.246064,39.868598",万达广场(丰台西铁营店),"116.355851,39.860936",22,30
北京市,西宏苑,"116.302114,39.858539",亿潼隆丰益购物中心,"116.378499,39.801049",25,42
北京市,香山樾,"116.21076,39.955816",北京育英学校,"116.286236,39.911471",30,51
北京市,翡翠雅苑,"116.633306,40.304649",诚信大卖场,"116.66216,40.351201",19,60
北京市,北京半岛,"116.075055,39.798777",阎村镇后沿村完全小学,"116.09387,39.728372",21,73
北京市,富源里,"116.416066,39.866297",北京第一师范学校附属小学东校区,"116.475897,39.800761",23,49
北京市,能建·京玥兰园,"116.676171,39.868402",北京华联武夷购物中心,"116.700163,39.918693",21,62
北京市,北京城建颐知筑,"116.148746,39.678962",良乡六中,"116.158527,39.73882",18,49
北京市,中海·时光之境,"116.401276,39.864505",北京市东城区第一人民医院,"116.458068,39.842483",17,35
北京市,矩阵三期,"116.354499,40.082953",天通苑购物中心,"116.41475,40.06643",21,38
北京市,绿城·西山云庐,"116.179888,39.945738",北京育英学校,"116.286236,39.911471",28,54
北京市,林科院宿舍,"116.248924,40.006581",八一小学,"116.307747,39.978052",24,40
北京市,垂杨柳东里,"116.401276,39.864505",北京市东城区第一人民医院,"116.45991,39.888673",18,42
北京市,中建云境,"116.307132,39.816034",北京市育鸿学校,"116.31351,39.898725",26,39
北京市,端礼著,"116.34196,39.86342",北京市东城区第一人民医院,"116.401276,39.864505",13,36
北京市,北京国贤府二期,"116.359746,40.074943",霍营中心小学,"116.440336,40.121105",24,51
北京市,南三环中路71号院,"116.386374,39.858067",史家小学遂安伯校区,"116.424343,39.916126",40,41
北京市,瑞海姆公寓,"116.767387,40.366261",十里堡镇水杨红小学,"116.832588,40.366086",15,34
北京市,广和南里二条,"116.387185,39.85588",大中电器洋桥店(南门),"116.449374,39.885587",20,47
北京市,玖瀛府,"116.312859,40.208408",小汤山中心马坊小学,"116.40034,40.153085",23,81
北京市,璟秀欣苑,"116.48102,39.849233",十八里店小学,"116.582911,39.816089",21,45
北京市,中海朝阳ONE,"116.397929,39.880592",天桥百货商场,"116.495643,39.842811",28,37
北京市,奥森春晓,"116.345593,40.092682",北京市十一学校(龙樾实验中学),"116.349413,40.044964",19,35
北京市,明峻嘉园,"116.031283,39.60067",永盛嘉禾购物中心,"116.072205,39.644407",11,39
北京市,长丰园三区,"116.292055,39.779479",亿潼隆丰益购物中心,"116.302114,39.858539",23,45
北京市,帅府园,"116.581349,39.913497",北岸商业广场,"116.646242,39.902728",16,34
北京市,广安门内大街200号,"116.364196,39.888957",北京第一师范学校附属小学东校区,"116.416066,39.866297",17,34
北京市,鸿华家园,"116.359746,40.074943",霍营中心小学,"116.426553,40.015703",28,45
北京市,常楹公元·自由派,"116.496338,39.931658",北京天使望京妇儿医院,"116.596478,39.922488",20,37
北京市,合景天汇,"116.610633,40.179017",北京市顺义区芳草外国语学校,"116.663654,40.21145",15,57
北京市,北京城建宽院国誉府,"116.589212,39.690377",北京市大兴区长子营中学,"116.625555,39.650549",15,61
北京市,盲人学校家属楼,"116.284586,39.936182",北京第二实验小学(涭水河分校),"116.37648,39.900266",27,45
北京市,晓康东里,"116.432243,39.864065",北京中医药大学东方医院,"116.52418,39.820825",21,58
北京市,东直门外大街(朝阳）,"116.356605,39.952958",枫蓝国际购物中心,"116.443988,39.941847",24,48
北京市,时代之光名苑,"116.327772,39.994167",北京市中关村中学(清华园校区),"116.355188,39.949273",22,43
北京市,佳兴园,"116.327772,39.994167",北京市中关村中学(清华园校区),"116.424273,40.034837",36,58
北京市,龙樾合玺,"116.434845,40.037448",花家地实验小学朝来校区,"116.518255,40.002997",24,74
北京市,培新街乙5号院,"116.433535,39.889625",北京市东方德才学校(金台里校区),"116.47705,39.919726",23,42
北京市,久敬佳园一区,"116.407931,39.820801",亦庄医院,"116.482462,39.798845",17,43
北京市,长河花园,"116.409388,40.148065",北师大二附中未来科技城学校,"116.448099,40.103612",17,65
北京市,京投发展檀香府,"116.055822,39.879195",北京长安天街,"116.12345,39.905343",18,29
北京市,金玉府,"116.230853,39.92184",亿潼隆丰益购物中心,"116.302114,39.858539",26,49
北京市,若丘,"116.04804,39.879295",北京市大峪中学(分校),"116.107393,39.888775",14,44
北京市,北京隅西颂,"116.314284,39.825938",北京第一师范学校附属小学东校区,"116.416066,39.866297",23,48
北京市,一线材厂宿舍,"116.272933,40.131862",百善学校,"116.319782,40.172499",18,56
北京市,中建国望府,"116.139932,39.937129",北京市石景山区电厂路小学,"116.165972,39.867537",21,90
北京市,万源南里,"116.424194,39.798024",北京市第八十中学(睿实分校),"116.462892,39.842248",18,59
北京市,首开璞瑅隐园,"116.374318,39.913116",西单商场西单北大街店北区,"116.443357,39.861411",33,39
北京市,招商·臻园,"116.304551,39.787176",北京友谊医院,"116.400209,39.805808",27,59
北京市,金融街武夷·融御,"116.647284,39.900523",北京市通州区第二中学,"116.70558,39.916745",20,47
北京市,望京国誉府,"116.359746,40.074943",霍营中心小学,"116.462943,40.051006",37,40
北京市,图景嘉园,"116.271599,40.064148",北京市中关村中学(清华园校区),"116.327772,39.994167",34,48
北京市,帅府潞苑,"116.581349,39.913497",北岸商业广场,"116.667431,39.93924",23,53
北京市,胜古馨园,"116.413557,39.971898",首都医科大学附属北京妇产医院产科门诊,"116.470751,39.93087",28,48
北京市,新德街甲31号院,"116.377034,39.957709",天桥百货商场,"116.397929,39.880592",36,40
北京市,社会福利院家属楼,"116.344744,40.027352",北京陈经纶中学嘉铭分校(欧陆校区),"116.421541,39.998376",25,48
北京市,四路通17号院,"116.38333,39.865093",史家小学遂安伯校区,"116.424343,39.916126",40,44
