城市名,起点名称,起点经纬度,终点名称,终点经纬度,距离
广州市,尚贤坊,"113.332385,22.895762",大平村邓婉华社区卫生服务站,"113.337728,22.946895",9.221
广州市,益丰花园,"113.272095,23.106023",琶洲国际会展中心B区南广场,"113.362625,23.102491",15.957
广州市,湖景华厦,"113.289089,23.120838",多米购物商场,"113.374573,23.077756",14.739
广州市,上宸花园,"113.179696,23.386763",九潭村卫生服务站,"113.251837,23.433824",13.067
广州市,阳光城兰园·翡澜花园,"113.155929,23.375261",飞鹅岭小学,"113.241516,23.385664",10.75
广州市,时代龙湖天著,"113.251006,23.263108",好家旺购物广场,"113.288109,23.317882",9.042
广州市,洛湖居,"113.247256,23.114304",西门町购物广场,"113.302356,23.045428",17.137
广州市,合锦嘉泓·天宇广场,"113.504314,22.818741",南塘公园,"113.551825,22.798387",8.252
广州市,花都银燕大厦,"113.155929,23.375261",飞鹅岭小学,"113.216915,23.394353",8.626
广州市,海印南苑,"113.286969,23.10061",多米购物商场,"113.374573,23.077756",14.18
广州市,振业天颂花园,"113.245337,23.069498",东山街社区卫生服务中心(明月二路),"113.3125,23.115992",11.87
广州市,市粮宿舍,"113.263638,23.090004",广州市第七中学,"113.297557,23.121676",8.756
广州市,金利大厦,"113.361071,22.950084",石碁城市广场,"113.442294,22.954762",9.208
广州市,越秀联投知识城·居山涧,"113.531145,23.315788",六乙堂中医医院,"113.558161,23.268371",11.509
广州市,新鸿基·峻銮,"113.270134,22.9786",广州市第九十七中学高中新校区,"113.288352,23.064179",18.539
广州市,保利曼源花园,"113.25003,23.066259",广州市第七中学,"113.297557,23.121676",10.135
广州市,华逸锦轩,"113.309391,23.124095",多米购物商场,"113.374573,23.077756",13.298
广州市,绿地柏玥晶舍,"113.295907,23.337981",星航国际广场,"113.321272,23.298479",7.901
广州市,招商林屿境,"113.507553,22.751764",广州市南沙区中医院,"113.545569,22.707001",9.368
广州市,中铁·阅江来,"113.503377,22.79114",九王庙公园,"113.592068,22.771643",13.166
广州市,茗筑水岸,"113.503842,22.768833",好邻居购物商场(南沙店),"113.54602,22.780106",6.44
广州市,隆城大厦,"113.241465,23.125125",广州市第七中学,"113.297557,23.121676",8.15
广州市,工业大道北,"113.256808,23.094276",新东豪商贸城,"113.261051,23.150015",9.43
广州市,瀚林水岸,"113.292541,23.099067",琶洲国际会展中心B区南广场,"113.362625,23.102491",12.167
广州市,锦绣一方苑,"113.488041,23.038573",亿鑫商场,"113.500542,22.974927",11.473
广州市,风神花园,"113.079485,23.385487",智海学校,"113.15645,23.381616",10.346
广州市,创基天璟,"113.802218,23.279008",天马商场,"113.873433,23.229114",9.72
广州市,华丰金湾,"113.501725,22.765145",广州外国语学校附属学校,"113.538346,22.777731",6.495
广州市,星河盛世锦城,"113.374573,23.077756",多米购物商场,"113.392354,23.012969",11.25
广州市,灵山岛金茂湾一期,"113.455865,22.752409",大岗镇新二小学,"113.507032,22.769578",8.412
广州市,东坑劳教所宿舍,"113.32936,23.195921",广州兰花文化园,"113.37918,23.218177",9.606
广州市,东湖豪苑,"113.290823,23.119839",骏景小学,"113.382361,23.121679",12.873
广州市,敏捷伊顿公馆,"113.322549,23.056773",为明教育广州实验学校罗马校区高中部,"113.342596,22.968547",14.399
广州市,香江天辰,"113.561362,23.141393",永新中学,"113.576893,23.195435",10.861
广州市,保利翔龙天汇,"113.37918,23.218177",广州兰花文化园,"113.439825,23.186794",9.729
广州市,桃源社区,"113.20165,23.148392",盒马邻里(白云富力金街店),"113.253496,23.12895",6.845
广州市,力迅荔筑,"113.235962,23.137077",小南门动物园,"113.304296,23.134757",8.749
广州市,耀华社区西城坊,"113.249329,23.126261",沙河小学,"113.311762,23.152783",9.359
广州市,时代·印象,"113.494837,23.454586",赤草村卫生站,"113.569078,23.509829",13.614
广州市,微澜苑,"113.408948,23.385112",钟落潭镇医院,"113.410104,23.466013",10.36
广州市,合景花蔓苑,"113.389281,23.600419",五丰小学,"113.424623,23.627393",7.887
广州市,西关雅苑,"113.248157,23.126599",盈邦商业中心,"113.265065,23.03968",14.313
广州市,新河浦雅居,"113.296179,23.119538",广州市第七十五中学高中部(燕塘东校区),"113.33062,23.164618",12.164
广州市,西关雅苑,"113.248157,23.126599",沙河小学,"113.311762,23.152783",9.104
广州市,基建新村,"113.266505,23.083638",广州市第七中学,"113.297557,23.121676",7.0
广州市,山水大厦小区,"113.764866,23.224783",增塘湿地公园,"113.818869,23.276438",12.193
广州市,地铁云筑上品,"113.272859,23.219519",广州市第七十中学,"113.303676,23.281891",8.682
广州市,馨泉花园,"113.179696,23.386763",九潭村卫生服务站,"113.259842,23.403885",16.172
广州市,保利云境,"113.270346,23.208467",沙河小学,"113.311762,23.152783",17.454
广州市,中旅·名门府,"113.222113,23.349159",广州市江高三中,"113.231082,23.304168",5.837
广州市,锦源国际公寓,"113.20165,23.148392",盒马邻里(白云富力金街店),"113.269264,23.11868",11.715
广州市,怡龙苑,"113.262301,23.098808",沙河小学,"113.311762,23.152783",11.147
广州市,富好城,"113.576893,23.195435",永新中学,"113.6634,23.158047",13.065
广州市,锦源国际公寓,"113.269264,23.11868",琶洲国际会展中心B区南广场,"113.362625,23.102491",18.199
广州市,流花雅轩,"113.20165,23.148392",盒马邻里(白云富力金街店),"113.252969,23.141932",6.726
广州市,合景臻溋名铸,"113.330615,23.095815",纵横广场,"113.405334,23.106838",10.205
广州市,金湖花园,"113.303676,23.281891",广州市第七十中学,"113.345605,23.207729",22.41
广州市,益丰花园,"113.272095,23.106023",广州市第七十五中学高中部(燕塘东校区),"113.33062,23.164618",12.77
广州市,广环大厦,"113.337793,23.167174",广州兰花文化园,"113.37918,23.218177",8.274
广州市,学林华轩,"113.267767,23.103928",东山街社区卫生服务中心(明月二路),"113.3125,23.115992",7.119
广州市,鸿发广场,"113.367586,23.191648",龙汇商贸小镇,"113.391055,23.117029",14.245
广州市,峻峰大厦,"113.20165,23.148392",盒马邻里(白云富力金街店),"113.278163,23.142102",10.606
广州市,领悦公馆,"113.560563,23.224717",华圣公园,"113.62988,23.278731",16.315
广州市,星图花园,"113.585808,23.15642",永宁街凤凰城社区卫生服务中心,"113.64002,23.134351",8.306
广州市,丰景阁,"113.592153,23.501486",锦联小学,"113.595647,23.540335",7.35
广州市,振业天成,"113.367586,23.191648",龙汇商贸小镇,"113.449826,23.192787",10.49
广州市,市府机关宿舍大院,"113.260256,23.134288",东山街社区卫生服务中心(明月二路),"113.3125,23.115992",8.966
广州市,金科·集美御峰,"113.494945,22.820426",华润万家金茂湾分店(金象中路店),"113.520099,22.781431",7.695
广州市,应元大厦,"113.268956,23.135323",东山街社区卫生服务中心(明月二路),"113.3125,23.115992",6.114
广州市,亚运城天际,"113.45558,22.979395",好佰家商场,"113.486456,22.94315",7.228
广州市,建发央玺花园,"113.23303,23.192016",新东豪商贸城,"113.261051,23.150015",7.103
广州市,新塘广场,"113.576893,23.195435",永新中学,"113.613483,23.117089",10.541
广州市,东华南路白云楼,"113.20165,23.148392",盒马邻里(白云富力金街店),"113.280713,23.116827",13.72
广州市,财富公馆,"113.240616,23.150151",广州市第七十五中学高中部(燕塘东校区),"113.33062,23.164618",15.517
广州市,德信知投嘉达·山与墅,"113.455303,23.362798",马洞村公园,"113.526761,23.321915",12.509
深圳市,地质勘查局生活区,"114.022607,22.523311",欣欣学校,"114.093921,22.54735",10.261
深圳市,东江豪苑,"113.908574,22.555905",深圳湾滨海休闲带西段,"113.942946,22.484556",17.632
深圳市,中山花园大厦,"114.130091,22.633312",布澜路联创社区公园,"114.135414,22.548685",12.111
深圳市,半山润府,"115.00232,22.827211",海丰县鹅埠中学,"115.070863,22.827994",8.328
深圳市,锦顺名居,"114.00312,22.688707",深圳外国语学校(集团)龙华高中部,"114.079243,22.688228",10.269
深圳市,合正观澜汇·云庭,"114.010314,22.648793",大浪赤岭头商贸城,"114.039593,22.69594",11.659
深圳市,深业山水东城花园,"114.322671,22.732093",龙岗中心医院集团同德社区健康服务中心,"114.329127,22.666068",10.512
深圳市,雍山郡花园,"114.237628,22.730076",华润万家(吉祥路店),"114.275822,22.754123",6.374
深圳市,京基御景半山花园,"114.207806,22.646547",横岗大厦Hone商场,"114.258735,22.687893",8.867
深圳市,松茂御城,"113.898122,22.786992",深圳市光明区元山社区健康服务中心,"113.906599,22.749031",5.539
深圳市,深铁珑境花园,"114.007835,22.645119",长坑社康服务中心,"114.064442,22.632342",7.12
深圳市,溪山美地园,"114.009041,22.636531",龙塘公园,"114.057162,22.600235",8.085
深圳市,景云上辰花园,"114.182186,22.633863",盒马鲜生(龙岗锦荟店),"114.230428,22.704815",10.801
深圳市,万科十七英里,"114.369655,22.60758",深圳市第二人民医院大鹏新区中心医院,"114.422362,22.632282",11.48
深圳市,中洲迎玺花园,"114.01032,22.684969",罗屋围旧村社区公园,"114.03858,22.608381",13.06
深圳市,莲花山庄四村,"114.094314,22.543007",荔园小学玮鹏校区,"114.109359,22.601328",10.461
深圳市,信达泰禾·金尊府,"114.330073,22.676139",秀新学校,"114.376751,22.738853",9.722
深圳市,新霖荟邑花园,"114.235208,22.700381",晨光小学,"114.272181,22.748827",8.907
深圳市,华润深铁润曜府,"113.931453,22.677413",锦驰致富广场A座,"113.950729,22.735492",8.779
深圳市,卓越和奕府,"114.037426,22.64214",盒马邻里(深圳龙岗万科第五园店),"114.071031,22.612881",6.657
深圳市,观玥名邸,"113.904123,22.767213",盒马邻里(深圳光明益田假日府邸店),"113.949427,22.737204",9.142
深圳市,天安社区,"114.032673,22.528965",深圳市罗湖区人民医院,"114.122198,22.53785",13.956
深圳市,红岗西村,"114.102571,22.569654",春风公园,"114.115637,22.535471",5.255
深圳市,公园大地八期,"114.230864,22.709355",深圳市高级中学龙岗学校,"114.3153,22.695534",11.265
深圳市,港逸豪庭,"114.054007,22.533569",星河COCO Park(福田店),"114.112984,22.534193",7.663
深圳市,碧中园,"114.054007,22.533569",星河COCO Park(福田店),"114.141984,22.561806",13.88
深圳市,城建云宸里,"114.010314,22.648793",大浪赤岭头商贸城,"114.080265,22.647633",10.875
深圳市,二十小区,"114.140515,22.577052",布心广场G栋,"114.228731,22.553118",12.899
深圳市,香缇雅苑,"114.04349,22.642628",龙华区中心医院景山社区健康服务站,"114.075838,22.693271",8.813
深圳市,南塘物业小区,"114.053465,22.546199",福田区黄埔学校中学部,"114.118536,22.544665",8.083
深圳市,溪山禾玺御府,"114.035377,22.6455",山姆会员商店,"114.051676,22.720055",10.119
深圳市,文锦大厦,"114.130091,22.633312",布澜路联创社区公园,"114.131874,22.543175",12.818
深圳市,金地环湾城,"114.039539,22.519958",笋岗中学,"114.105413,22.570527",19.746
深圳市,京基璟誉府,"114.053465,22.546199",福田区黄埔学校中学部,"114.143487,22.576362",11.361
深圳市,山水华庭,"114.099887,22.711235",深圳市龙岗区新木小学,"114.124468,22.67002",7.839
深圳市,美晨苑,"114.061186,22.514513",文华社区健康服务中心,"114.135025,22.544639",11.975
深圳市,万科金域蓝湾一期,"113.959095,22.588878",深圳市南山区丽湖学校,"114.025309,22.523491",14.878
深圳市,奥士达大厦,"114.022607,22.523311",欣欣学校,"114.060476,22.56421",10.015
深圳市,华侨新村商住楼,"114.205184,22.650697",深圳市龙岗区人民医院公园大地社区健康服务中心,"114.237612,22.711893",9.413
深圳市,瑞云府,"114.320847,22.680986",秀新学校,"114.376751,22.738853",10.298
深圳市,澜湖时代景愉府,"114.01032,22.684969",罗屋围旧村社区公园,"114.060714,22.734084",12.049
深圳市,悦见公园里,"113.899561,22.774722",正力时代广场,"113.944647,22.759876",6.539
深圳市,青云阙轩,"114.233132,22.748263",深圳市龙岗区人民医院公园大地社区健康服务中心,"114.237612,22.711893",4.743
深圳市,太明居,"114.053465,22.546199",福田区黄埔学校中学部,"114.130262,22.57045",9.554
深圳市,星河盛境三期御府,"114.182186,22.633863",盒马鲜生(龙岗锦荟店),"114.212078,22.658411",4.849
深圳市,玖玖颂阁,"113.891491,22.577746",前海小学,"113.911492,22.534632",7.04
深圳市,山水华庭,"114.099887,22.711235",下李朗小学,"114.137091,22.64046",14.098
深圳市,鸿运大院,"114.053263,22.520163",马成时代广场C区,"114.05799,22.567976",7.561
深圳市,泰然广场,"113.959561,22.570558",华润万家(西丽店),"114.023985,22.527872",9.885
深圳市,龙岸花园三期,"114.01032,22.684969",罗屋围旧村社区公园,"114.057239,22.612618",15.217
深圳市,会展湾雍境名邸,"113.773884,22.716572",彩虹缤纷城,"113.825021,22.67424",12.215
深圳市,奥林华府,"114.207806,22.646547",横岗大厦Hone商场,"114.220375,22.703889",7.625
深圳市,云祥公馆,"113.944058,22.688668",六一中学,"114.020237,22.672581",11.931
深圳市,梅安居,"114.057988,22.566288",盒马邻里(深圳龙岗万科第五园店),"114.071031,22.612881",9.416
深圳市,朗景园,"113.942946,22.484556",深圳湾滨海休闲带西段,"113.950639,22.541115",12.973
深圳市,京地海樾府,"113.855015,22.574649",宝安中医院,"113.898484,22.571273",6.136
深圳市,鹏瑞半山云璟府,"114.192923,22.62178",沙荷路生态公园,"114.238873,22.587646",9.644
深圳市,鸿鹄里,"114.373632,22.703667",深圳市第二人民医院大鹏新区中心医院,"114.422362,22.632282",11.543
深圳市,京基宸悦府,"114.009041,22.636531",龙塘公园,"114.056428,22.566548",11.887
深圳市,东方玫瑰花园,"114.04202,22.540086",文华社区健康服务中心,"114.135025,22.544639",10.772
深圳市,THETOWN乐城二期,"114.222348,22.671813",华升学校,"114.263706,22.730589",8.728
深圳市,三洲田新村,"114.192923,22.62178",沙荷路生态公园,"114.268852,22.588459",10.628
深圳市,尖岗山壹号花园,"113.836014,22.630604",瑞盛百货,"113.916865,22.587092",13.99
深圳市,龙光玖誉雅筑,"114.341379,22.673989",秀新学校,"114.376751,22.738853",9.644
深圳市,汉园茗院,"114.010257,22.596886",罗屋围旧村社区公园,"114.01032,22.684969",16.754
深圳市,绿景白石洲璟庭,"113.969176,22.545629",福田区黄埔学校中学部,"114.053465,22.546199",11.735
深圳市,珈誉未来花园,"113.820187,22.698622",黄麻布村公园,"113.866193,22.66557",9.62
深圳市,溪山美地园,"114.057162,22.600235",深圳市罗湖区人民医院,"114.122198,22.53785",16.15
深圳市,众福雅苑,"114.031983,22.620281",星河COCO Park(福田店),"114.054007,22.533569",13.318
深圳市,怀德公元,"113.819375,22.734338",坣岗小学,"113.82735,22.670242",9.705
深圳市,保利招商龙誉,"113.971931,22.621543",深圳市大磡小学,"114.034897,22.606408",11.27
深圳市,庐峰翠苑,"114.094314,22.543007",荔园小学玮鹏校区,"114.137248,22.550366",5.594
深圳市,卓越闽泰云奕府,"113.846971,22.620258",凤凰生态园,"113.849803,22.690777",14.541
深圳市,广博星海华庭,"113.905421,22.575037",冠华育才学校,"113.936144,22.494658",14.593
深圳市,京基华樾,"114.110444,22.552049",布澜路联创社区公园,"114.130091,22.633312",13.385
深圳市,育德佳园,"113.933532,22.511137",天虹(京基·百纳广场南山店),"113.968678,22.531105",6.409
深圳市,伟城贤德瑞府,"113.89307,22.803853",正力时代广场,"113.944647,22.759876",9.363
深圳市,THETOWN乐城二期,"114.222348,22.671813",深圳市龙岗区人民医院公园大地社区健康服务中心,"114.237612,22.711893",5.835
深圳市,远洋观山海,"113.895151,22.492585",深圳湾滨海休闲带西段,"113.942946,22.484556",12.455
深圳市,特发香阅四季园,"114.071031,22.612881",盒马邻里(深圳龙岗万科第五园店),"114.135888,22.622422",7.786
深圳市,溪山美地园,"114.057162,22.600235",春风公园,"114.115637,22.535471",15.351
深圳市,星悦云邸,"113.996013,22.667848",长坑社康服务中心,"114.064442,22.632342",9.808
深圳市,中洲湾滨海华府三期,"114.03175,22.523118",荔园小学玮鹏校区,"114.094314,22.543007",7.946
深圳市,振业天境云庭,"113.930683,22.769817",章阁背礼园社区公园,"114.019513,22.738648",20.375
深圳市,承翰陶源,"114.23435,22.751007",深圳市龙岗区人民医院公园大地社区健康服务中心,"114.237612,22.711893",5.241
深圳市,锦顺名居,"114.00312,22.688707",龙塘公园,"114.009041,22.636531",9.079
深圳市,宏发雍景城,"113.906009,22.779911",正力时代广场,"113.944647,22.759876",6.581
深圳市,新港鸿花园,"114.064442,22.632342",长坑社康服务中心,"114.131405,22.572425",13.913
深圳市,招商仕林臻邸,"113.905421,22.575037",冠华育才学校,"113.921633,22.49227",13.278
深圳市,佳兆业前海广场二期,"113.885696,22.49555",宝安中医院,"113.898484,22.571273",11.088
深圳市,城市花园,"114.240285,22.726705",龙岗中心医院集团坪西社区健康服务中心,"114.294098,22.769902",9.205
深圳市,金地鹭湖1号,"114.057836,22.694213",盒马邻里(深圳龙岗万科第五园店),"114.071031,22.612881",13.637
苏州市,观东小区,"120.630395,31.313365",新天地I号馆,"120.63192,31.388062",11.585
苏州市,时光青澄,"120.667799,31.39297",苏州市广济医院,"120.745616,31.374642",9.944
苏州市,中粮悦揽天地,"120.614443,31.254311",谷谷超市,"120.631586,31.203538",8.245
苏州市,棠悦名筑,"120.765801,31.643264",大润发(常熟店),"120.785858,31.679386",6.068
苏州市,尹东五村,"120.71719,31.236573",兆佳巷邻里中心,"120.755394,31.315929",15.497
苏州市,淞泽家园（一区）,"120.684554,31.310913",湖滨公园,"120.743861,31.244268",13.064
苏州市,新苏安新村,"120.63192,31.388062",新天地I号馆,"120.647762,31.328614",8.006
苏州市,师古桥,"120.593097,31.216487",华润万家(越溪店),"120.61791,31.2953",11.994
苏州市,悦见云庭,"120.756525,31.308231",中加国际高中,"120.826123,31.315305",7.678
苏州市,秀景园,"120.884894,31.397423",昆山市信义小学,"120.945985,31.398258",6.579
苏州市,绿地琥珀澜庭,"120.739113,31.639875",常熟市第一人民医院,"120.78324,31.590993",9.998
