城市名,起点名称,起点经纬度,终点名称,终点经纬度,时间
深圳市,鸿荣源·宝中,"113.88644,22.547825",前海小学,"113.911492,22.534632",23
深圳市,阳光香格里家园,"114.272358,22.754578",华升学校,"114.263706,22.730589",20
深圳市,缇香名苑,"114.04106,22.545127",星河COCO Park(福田店),"114.054007,22.533569",18
深圳市,满京华金硕华府,"113.936471,22.768958",东坑社区健康服务中心,"113.916031,22.754441",16
深圳市,华盛观荟名庭,"114.040073,22.711282",盒马邻里(深圳龙华芷峪澜湾店),"114.041294,22.693135",13
深圳市,景云上辰花园,"114.230428,22.704815",平安里学校,"114.220784,22.724934",19
深圳市,风临洲,"113.888812,22.559303",冠华育才学校,"113.905421,22.575037",18
深圳市,中粮幸福花园,"113.887575,22.583062",冠华育才学校,"113.905421,22.575037",16
深圳市,松茂御城,"113.906599,22.749031",东坑社区健康服务中心,"113.916031,22.754441",9
深圳市,怡翠花园,"113.877885,22.584362",平峦山公园,"113.876462,22.608322",32
深圳市,凤鸣水岸花园,"113.900874,22.597606",冠华育才学校,"113.905421,22.575037",17
深圳市,绿景花园二期,"114.043189,22.521825",福田区黄埔学校中学部,"114.053465,22.546199",27
深圳市,翰林华庭,"114.989062,22.823416",鹅埠医院,"115.002622,22.828992",12
深圳市,保利静安府,"114.247073,22.740474",华升学校,"114.263706,22.730589",14
深圳市,鸿桥世纪名园,"113.804978,22.691067",彩虹缤纷城,"113.825021,22.67424",20
深圳市,鸿荣源观城,"114.057746,22.709456",盒马邻里(深圳龙华芷峪澜湾店),"114.041294,22.693135",21
深圳市,华兴花园,"114.150011,22.547509",文华社区健康服务中心,"114.135025,22.544639",11
深圳市,富基云珑府,"114.044844,22.640315",长坑社康服务中心,"114.064442,22.632342",18
深圳市,卓越蔚蓝铂樾府,"114.433433,22.629053",官湖学校,"114.424453,22.605057",19
深圳市,东方御花园,"114.235317,22.726315",深圳市龙岗区人民医院公园大地社区健康服务中心,"114.237612,22.711893",8
苏州市,天竺苑,"121.264221,31.5031",上海如海生鲜生活购物中心(紫薇路店),"121.253812,31.514622",9
苏州市,五星新村一区,"120.752503,31.658008",泰慈,"120.763796,31.675129",14
苏州市,中建文泽华府,"120.659005,31.138208",东亚购物中心,"120.644999,31.161933",19
苏州市,中南世纪城三期,"121.115125,31.439424",城厢街道第一小学,"121.104411,31.446504",7
苏州市,中铁堂阅,"120.653702,30.902079",吴江区盛泽中学,"120.681466,30.891258",16
苏州市,金地峯范,"120.542829,31.253268",狮山当代MOMA-商业广场,"120.530949,31.277129",20
苏州市,太湖澄光,"120.413274,31.226308",舟山邻里中心,"120.424269,31.2381",15
苏州市,龙景花苑四区,"120.393868,31.33221",苏州科技城医院,"120.407077,31.349145",15
苏州市,中海上贤府,"120.568889,31.281885",苏州高新区第一初级中学校教育集团滨河路校区,"120.57941,31.27661",10
苏州市,新晨花园,"120.415831,31.953091",南沙小学,"120.415182,31.92891",17
苏州市,嘉骏峰庭,"120.525607,31.373917",苏州市金阊实验中学,"120.547554,31.366341",15
苏州市,亨通浦江雅院,"120.865484,31.030829",金鼎世纪购物广场4幢,"120.846856,31.034522",12
苏州市,建屋紫云庭,"120.725355,31.264579",华润万家生活超市(车坊店),"120.736721,31.244453",16
苏州市,鲁能泰山9号,"120.714801,31.476207",阳澄湖镇市民运动公园,"120.721758,31.488267",13
苏州市,金桥花园一区,"120.432191,31.944653",香山医院,"120.408853,31.928125",19
苏州市,四季和风雅园,"120.311629,31.124936",西山中学,"120.307839,31.139521",10
苏州市,钱家祠,"121.105262,31.448303",城市中央湿地公园,"121.135113,31.454156",20
苏州市,嘉鹿花园,"120.884739,31.277373",甪直甫里中学,"120.877409,31.267498",10
苏州市,南环东路3号,"120.648988,31.28289",健生源医院(葑门路),"120.646307,31.299864",16
苏州市,首开班芙春天花园北区,"120.603959,31.380637",华润万家大卖场华东(梦想玩国阳澄湖西路店),"120.601853,31.361573",16
苏州市,保利时光印象,"120.450959,31.365061",华通公园,"120.468584,31.376655",12
苏州市,同心璟苑,"120.679413,31.538399",新合作常客隆(杨园店),"120.65731,31.557157",21
苏州市,蓝城垂虹桃花源,"120.651987,31.149435",吴江公园,"120.634741,31.155611",11
苏州市,花语云萃华庭,"120.647452,31.3802",新天地I号馆,"120.63192,31.388062",17
苏州市,悦见云庭,"120.826123,31.315305",星浦医院,"120.825575,31.301596",9
苏州市,干将东路散盘,"120.648091,31.311446",东汇,"120.632695,31.331826",17
苏州市,包衙前,"120.612556,31.312813",东汇,"120.632695,31.331826",21
苏州市,帝景豪园,"120.56612,31.853511",未来公园,"120.570487,31.863806",7
苏州市,绿地城,"121.119113,31.43319",城厢街道第一小学,"121.104411,31.446504",12
杭州市,青山湖畔御庭园,"119.755165,30.229173",钱王陵公园,"119.726112,30.234562",19
杭州市,溪揽星院,"119.966983,30.387038",窑山公园,"119.969473,30.396725",6
杭州市,富春御园,"120.010677,30.082486",世纪华联超市(鸡笼山店),"119.979956,30.084337",29
杭州市,万马路19号,"119.70782,30.221716",杭州市临安区西林小学,"119.714775,30.239333",16
杭州市,桃李望湖里,"119.731065,30.24024",锦城第三初级中学,"119.706631,30.242659",16
杭州市,奥城·望,"119.684494,29.754831",富春高级中学,"119.674336,29.768269",17
杭州市,墩莳家园,"120.065281,30.337155",浙江医院(三墩院区),"120.086765,30.327655",16
杭州市,采荷绿萍,"120.199183,30.258172",身边连锁超市(四季青店),"120.188955,30.243598",16
杭州市,春丰苑,"120.184869,30.265297",购物城,"120.161794,30.272797",17
杭州市,美顺锦天府,"119.703589,30.212859",世纪华联(西墅街店),"119.703809,30.238625",17
杭州市,城河公寓,"120.266104,30.164163",萧山第十高级中学,"120.249975,30.147162",18
杭州市,锅炉厂宿舍,"119.721715,30.227038",锦城第三初级中学,"119.706631,30.242659",16
杭州市,春缦金云院,"119.924273,30.04811",中心公园,"119.915503,30.042705",6
杭州市,西径里,"119.72127,30.256309",新天地购物广场(锦桥店),"119.723972,30.232647",17
杭州市,东平巷小区,"120.169145,30.24814",购物城,"120.161794,30.272797",20
杭州市,沥瑞府,"120.471036,30.181313",杭州市萧山区第二人民医院,"120.458671,30.173879",8
杭州市,绿都南江壹号,"120.271655,30.134926",萧山第十高级中学,"120.249975,30.147162",18
杭州市,万都晶座,"120.284987,30.144829",河浜路综合市场地下商城,"120.263642,30.160479",20
杭州市,久映颂月府,"120.317387,30.315513",华联小超市(金乔街店),"120.328076,30.325082",12
杭州市,回龙庙前小区,"120.184615,30.260896",购物城,"120.161794,30.272797",19
杭州市,美丽湾,"119.713848,30.218323",钱王陵公园,"119.726112,30.234562",15
杭州市,沄璟文华轩,"120.106526,30.16271",浙江绿城医院九溪玫瑰园院区,"120.1044,30.177152",11
杭州市,城市蓝湾,"119.45217,29.931997",南堡湿地公园,"119.439623,29.943702",9
杭州市,双牛大厦,"120.180236,30.264025",购物城,"120.161794,30.272797",16
杭州市,大润发商贸城,"119.94009,30.051651",富阳区富春中学,"119.940387,30.034244",10
杭州市,潘水苑,"120.265877,30.148572",西山公园,"120.257475,30.162848",13
杭州市,星雨华府,"119.714156,30.256401",杭州市临安区西林小学,"119.714775,30.239333",12
杭州市,西子公寓,"120.158532,30.260639",柳营公园,"120.172488,30.261488",13
杭州市,赞成林风映水苑,"120.189972,30.227446",身边连锁超市(四季青店),"120.188955,30.243598",14
杭州市,潇湘公寓,"120.269571,30.164977",萧山第十高级中学,"120.249975,30.147162",22
杭州市,华能热电宿舍,"119.724122,30.226707",锦城第三初级中学,"119.706631,30.242659",15
杭州市,广宇吴山鸣翠苑,"120.161094,30.235199",身边连锁超市(四季青店),"120.188955,30.243598",26
杭州市,海威天地,"120.224897,30.201567",萧山信息港小学,"120.251418,30.201065",17
杭州市,星雨华府,"119.714156,30.256401",锦城第三初级中学,"119.706631,30.242659",12
杭州市,汀山和院,"120.275871,30.409685",杭州市临平区临平第一中学,"120.289533,30.395146",18
杭州市,禹洲滨之澜苑,"120.113822,30.148519",杭州市之江第一中学,"120.092842,30.162701",22
杭州市,南门江住宅区,"120.262249,30.154084",西山公园,"120.257475,30.162848",9
杭州市,春棠雅韵府,"120.301575,30.35833",新梅文化公园,"120.299817,30.369706",11
杭州市,联胜新府,"120.30827,30.379832",杭州市临平区临平第一中学,"120.289533,30.395146",20
杭州市,钱塘滨和花园,"120.224916,30.198762",萧山信息港小学,"120.251418,30.201065",18
杭州市,蓝城,"119.724744,29.79304",桐庐银泰城,"119.71367,29.796436",8
杭州市,茶厂宿舍,"120.194209,30.249376",柳营公园,"120.172488,30.261488",20
杭州市,江畔云庐,"119.307196,29.492602",建德市第一人民医院,"119.291084,29.472153",20
武汉市,金地格林小城美茵区,"114.333979,30.501005",武汉科技大学附属天佑医院,"114.326471,30.524641",24
武汉市,中建壹品·汉芯公馆,"114.311888,30.617418",台北商场(二七店),"114.3168,30.630046",11
武汉市,省油脂公司宿舍,"114.327878,30.537413",武汉科技大学附属天佑医院,"114.326471,30.524641",12
武汉市,天下龙岭广场,"114.342341,30.520007",武昌区丁字桥小学,"114.326395,30.521186",11
武汉市,西北湖壹号御玺湾,"114.264823,30.598917",常青藤口袋公园,"114.23999,30.607654",19
武汉市,万润广场,"114.056163,30.564574",蔡甸区人民医院住院楼,"114.044451,30.56246",12
武汉市,沿海翡丽公馆,"114.149759,30.648342",武汉太康医院(沿海赛洛城中央大街),"114.153179,30.637274",8
武汉市,采荷居,"114.319169,30.497732",南国南湖城市广场(建安街),"114.324906,30.505355",9
武汉市,翰林苑,"114.382053,30.873368",黄陂区人民医院,"114.370802,30.887861",13
武汉市,富丽畅馨园,"114.313952,30.362473",武商量贩(江夏店),"114.308894,30.348988",10
武汉市,人信奥林花园冠军苑,"114.1825,30.508103",永旺,"114.205119,30.503886",19
武汉市,圣诚和园,"114.289999,30.637377",台北商场(二七店),"114.3168,30.630046",25
武汉市,太子尚品,"114.200765,30.517417",新区公园,"114.194231,30.532777",16
武汉市,法苑小区,"114.309365,30.533979",武汉科技大学附属天佑医院,"114.326471,30.524641",15
武汉市,中建开元珞珈公馆,"114.352097,30.529042",武昌区丁字桥小学,"114.326395,30.521186",18
武汉市,新城庭瑞君悦观澜,"114.060982,30.318712",德成·汉南广场,"114.071586,30.306896",11
武汉市,深业泰雲府,"114.343879,30.483935",南国南湖城市广场(建安街),"114.324906,30.505355",22
武汉市,融创九坤璟宸时代,"114.144329,30.60809",服投广场,"114.142606,30.622463",10
武汉市,解放路249号,"114.297324,30.537428",武汉市第十四中学,"114.313134,30.55195",18
武汉市,融创九坤璟宸时代,"114.144329,30.60809",武汉市吴家山第二中学,"114.142418,30.627624",12
武汉市,武汉长江天地,"114.29583,30.526391",武汉科技大学附属天佑医院,"114.326471,30.524641",22
武汉市,中建开元珞珈公馆,"114.352097,30.529042",武汉科技大学附属天佑医院,"114.326471,30.524641",18
武汉市,瑞云居,"114.287573,30.630366",台北商场(二七店),"114.3168,30.630046",24
武汉市,嘉鸿军民小区,"114.574368,30.663089",新洲一中(阳逻校区),"114.583195,30.687644",18
武汉市,绿城武汉诚园,"114.377652,30.888368",武商量贩(黄陂店),"114.374621,30.874899",9
武汉市,博大学府城,"114.5976,30.711532",新洲一中(阳逻校区),"114.583195,30.687644",23
武汉市,四方园,"114.365367,30.873067",黄陂区文体广场,"114.378789,30.870271",8
南京市,玖宸府,"119.054411,31.631116",溧水人民医院-住院二部,"119.035738,31.63133",11
南京市,保利扬子萃云台,"118.696278,32.086281",南京医科大学第四附属医院(浦园院区)综合楼,"118.719837,32.104367",28
南京市,香缇丽舍,"118.751288,32.017856",南京市秦淮区中医医院门诊,"118.78202,32.015742",23
南京市,月安花园揽月居,"118.73044,32.022677",欧洲城·凯旋明珠商业广场B馆,"118.735056,32.009551",14
南京市,锋范花园,"119.054502,31.633523",溧水人民医院-住院二部,"119.035738,31.63133",13
南京市,茉里,"118.92801,32.416734",世纪华联超市(八百大道店),"118.936255,32.426575",8
南京市,红豆香江华府,"118.876252,31.771148",永欣·邻里中心,"118.860022,31.768942",10
南京市,蓝光雍锦逸境府,"118.991579,32.155584",栖霞区医院西岗分院,"119.010526,32.143429",17
南京市,米巷小区,"118.838062,32.342849",南京六合瑞金医院门诊楼,"118.861189,32.335261",12
南京市,中交保利翠语江岚,"118.99092,32.159936",栖霞区医院西岗分院,"119.010526,32.143429",18
南京市,蓝湖郡,"118.839547,31.787249",马甫小学,"118.865306,31.802077",18
南京市,泷悦雅颂,"118.995501,32.1248",栖霞区医院西岗分院,"119.010526,32.143429",17
南京市,银河湾福苑,"118.742467,32.03135",欧洲城·凯旋明珠商业广场B馆,"118.735056,32.009551",16
南京市,南京高淳雅园,"118.876349,31.315181",时尚宏达购物广场,"118.868548,31.3219",10
南京市,滨江奥城静思苑,"118.720836,32.018695",陶行知学校,"118.735563,32.025791",12
南京市,黄坊村83号金伦小区,"118.792611,32.112125",高桥商场,"118.810442,32.102099",25
南京市,睦水香邻,"118.898477,31.348087",高淳区淳辉高级中学,"118.898708,31.328937",14
南京市,润禾府,"118.728308,32.240314",南京市南化实验小学(葛塘校区),"118.733805,32.232528",11
南京市,马群街99号,"118.891364,32.045953",南京体育学院运动康复医院,"118.867979,32.040609",20
南京市,南京义乌小商品城,"118.87755,31.938521",金鹰GE66,"118.846694,31.93357",16
南京市,世纪城金域华府,"118.647484,31.90896",南京市板桥中学,"118.665428,31.91779",15
南京市,苏宁睿城银河国际街区,"118.731114,32.031042",欧洲城·凯旋明珠商业广场B馆,"118.735056,32.009551",18
南京市,星叶翰锦院,"118.771536,32.032125",南京市秦淮区中医医院门诊,"118.78202,32.015742",13
南京市,靖安里1号院,"118.835281,31.955024",金鹰GE66,"118.846694,31.93357",18
南京市,长江悦府,"118.787441,32.110914",高桥商场,"118.810442,32.102099",28
南京市,蓝光黑钻公馆,"118.915468,32.02948",世纪华联超市(融康苑店),"118.901397,32.041066",13
南京市,蓝天慧融花园,"118.874899,31.773149",博嘉医院,"118.847796,31.768219",14
南京市,上坤·云栖风华璟园,"118.991106,32.157615",栖霞区医院西岗分院,"119.010526,32.143429",17
南京市,金陵世纪花园,"118.735143,32.041035",陶行知学校,"118.735563,32.025791",11
南京市,金都悦园,"118.828083,32.329061",江苏省六合高级中学附属初中,"118.849226,32.344048",15
南京市,中宏万家广场,"118.881623,31.341171",永辉超市(高淳悦达店),"118.874604,31.328514",11
南京市,华润观云润府,"118.736094,31.953066",莲花湿地公园,"118.71269,31.958399",15
南京市,嘉和华府,"118.848095,31.941163",南京市江宁医院仓库办公室,"118.848832,31.950535",8
天津市,汇金首府,"117.74558,39.104322",北京大学滨海医院生态城医院,"117.75527,39.121494",17
天津市,胜利楼,"116.921949,38.94461",静海区中医院,"116.917638,38.934549",8
天津市,华纳·豪园,"117.69389,39.029062",塘沽第六中学,"117.672827,39.017154",20
天津市,康居园,"117.664984,39.040267",金元宝滨海国际购物中心,"117.68774,39.033052",18
天津市,安辛庄,"117.218282,39.112229",世纪华联超市(大直沽八号路店),"117.245217,39.110807",19
天津市,金重·金翠澜庭,"116.937465,38.924996",华润万家(春曦道店),"116.963958,38.934192",17
天津市,观景里,"117.15063,39.090243",华苑人防公园,"117.14127,39.079059",13
天津市,开元里,"117.457326,38.836791",大港蹦床运动主题公园,"117.483089,38.828387",16
天津市,海奥春晖书院,"116.952518,38.943575",新世纪购物中心,"116.971088,38.935819",12
天津市,天房彩虹苑,"117.829086,39.223632",全民健康生活方式行动主题公园,"117.810177,39.240921",18
天津市,荣盛锦绣学府,"117.08548,38.983153",北京师范大学静海附属学校,"117.082595,38.964526",18
天津市,天保·天成燕居,"117.683115,39.0212",金元宝滨海国际购物中心,"117.68774,39.033052",14
天津市,五马路162号,"117.19108,39.159726",天津市嘉诚中学,"117.216948,39.147723",24
天津市,慧谷风华,"117.809366,39.340901",芦台第二小学,"117.838034,39.339563",21
天津市,社会山花园三区,"117.046143,39.057345",华联家泰自选超市,"117.024363,39.077363",16
天津市,东局子,"117.266664,39.13095",世纪华联超市(大直沽八号路店),"117.245217,39.110807",25
天津市,西楼北里,"117.217502,39.102826",世纪华联超市(大直沽八号路店),"117.245217,39.110807",19
天津市,汇光西里,"117.239979,39.159958",天津市嘉诚中学,"117.216948,39.147723",23
天津市,金发河与城,"117.270924,39.705412",海滨医院,"117.266866,39.731132",16
天津市,天安珑园,"117.027742,39.100871",华联家泰自选超市,"117.024363,39.077363",17
天津市,天山里,"117.268358,39.067842",复兴小学,"117.255016,39.077521",16
天津市,金正公寓,"117.198872,39.155432",天津市嘉诚中学,"117.216948,39.147723",19
北京市,中海丽金府,"116.336343,39.856536",白纸坊建功北里百姓生活服务中心,"116.353475,39.879549",19
北京市,端礼著,"116.34196,39.86342",白纸坊建功北里百姓生活服务中心,"116.353475,39.879549",14
北京市,中信城四期五期,"116.378903,39.88449",白纸坊建功北里百姓生活服务中心,"116.353475,39.879549",17
北京市,天恒旭辉七号院,"116.302809,39.63431",庞各庄众美公园,"116.324326,39.631809",13
北京市,龙熙顺景甲区,"116.309334,39.621545",庞各庄众美公园,"116.324326,39.631809",12
北京市,隆兴园二里,"116.311092,39.635604",庞各庄众美公园,"116.324326,39.631809",7
北京市,京贸家园,"116.690416,39.920171",生活日用品广场,"116.670446,39.936286",18
北京市,上潞园,"116.686314,39.940024",生活日用品广场,"116.670446,39.936286",12
北京市,8哩岛,"116.64127,39.933896",生活日用品广场,"116.670446,39.936286",22
北京市,龙樾合玺,"116.518255,40.002997",望京公园,"116.498471,39.994743",18
北京市,绿城晓风印月,"116.515633,40.002894",望京公园,"116.498471,39.994743",18
北京市,和光悦府,"116.515333,40.004708",望京公园,"116.498471,39.994743",19
北京市,丰体时代,"116.270402,39.866008",翠微百货(大成路店),"116.265267,39.888439",16
北京市,太平路甲12号院,"116.279124,39.89989",翠微百货(大成路店),"116.265267,39.888439",13
北京市,太平路36号院,"116.272115,39.899685",翠微百货(大成路店),"116.265267,39.888439",10
北京市,北京隅东序,"116.496813,39.84441",华联生活超市(吕家营店),"116.465864,39.836759",17
北京市,金隅昆泰云筑,"116.492427,39.84263",华联生活超市(吕家营店),"116.465864,39.836759",19
北京市,北京天誉,"116.455707,39.851603",华联生活超市(吕家营店),"116.465864,39.836759",13
北京市,明德家园,"116.551315,40.108051",百食特进口商品折扣(后沙峪店),"116.53793,40.104657",7
北京市,香花畦家园,"116.548482,40.11062",百食特进口商品折扣(后沙峪店),"116.53793,40.104657",8
北京市,阿凯笛亚庄园,"116.527893,40.113032",百食特进口商品折扣(后沙峪店),"116.53793,40.104657",9
北京市,龙锦苑东一区,"116.367101,40.088888",华联生活超市(魏窑店),"116.38608,40.086906",9
北京市,王府街18号院,"116.404767,40.103232",华联生活超市(魏窑店),"116.38608,40.086906",19
北京市,矩阵三期,"116.354499,40.082953",华联生活超市(魏窑店),"116.38608,40.086906",16
北京市,京熙润府,"116.165653,39.727278",北京中医药大学房山医院良乡分院,"116.135591,39.729102",19
北京市,金地·璟宸,"116.132865,39.74291",北京中医药大学房山医院良乡分院,"116.135591,39.729102",9
北京市,韩建观山源墅,"116.164495,39.737878",北京中医药大学房山医院良乡分院,"116.135591,39.729102",18
北京市,绮霞苑,"116.1154,39.934009",永辉超市mini(三家店),"116.105719,39.959699",21
北京市,石泉砖厂B2区,"116.08404,39.947539",永辉超市mini(三家店),"116.105719,39.959699",16
北京市,龙门二区,"116.085415,39.945913",永辉超市mini(三家店),"116.105719,39.959699",15
北京市,招商云璟揽阅,"116.668703,39.879277",永湖商业广场,"116.64271,39.893092",17
北京市,缦云ONE,"116.653131,39.916267",永湖商业广场,"116.64271,39.893092",20
北京市,北京·东湾,"116.645725,39.911426",永湖商业广场,"116.64271,39.893092",16
北京市,融创壹号院,"116.493751,39.941922",北京市朝阳区教育研究中心附属学校,"116.497597,39.966045",18
北京市,御翠园,"116.521442,39.948245",北京市朝阳区教育研究中心附属学校,"116.497597,39.966045",22
北京市,融创壹号院ONE9,"116.496801,39.943188",北京市朝阳区教育研究中心附属学校,"116.497597,39.966045",16
北京市,港馨家园西区,"116.677137,40.106161",明伟生活超市,"116.70398,40.101818",12
北京市,裕龙花园六区,"116.677078,40.118819",明伟生活超市,"116.70398,40.101818",18
北京市,滨河小区,"116.682937,40.118069",明伟生活超市,"116.70398,40.101818",15
北京市,民生花园,"116.669066,40.162667",双兴公园,"116.661728,40.146598",13
北京市,龙湖·御湖境二期,"116.652208,40.134007",双兴公园,"116.661728,40.146598",11
北京市,璞瑅润府,"116.631869,40.139674",双兴公园,"116.661728,40.146598",20
北京市,翡翠城三期别墅,"116.314921,39.771395",狼垡城市森林公园东区,"116.290837,39.773991",28
北京市,康庄路50号院,"116.311844,39.756464",狼垡城市森林公园东区,"116.290837,39.773991",28
北京市,金惠园三里,"116.325015,39.771607",狼垡城市森林公园东区,"116.290837,39.773991",33
北京市,中铁国际花园2号院,"116.192093,39.772903",京投港·长阳购物中心,"116.212914,39.763023",23
北京市,芭蕾雨二期,"116.186841,39.760062",京投港·长阳购物中心,"116.212914,39.763023",14
北京市,合景领峰7号院,"116.185779,39.770313",京投港·长阳购物中心,"116.212914,39.763023",20
北京市,西潞园二里,"116.128555,39.734451",天恒休闲公园,"116.15508,39.717288",23
北京市,佳世苑北区,"116.121725,39.72156",天恒休闲公园,"116.15508,39.717288",21
北京市,昊天大街81号,"116.147565,39.735089",天恒休闲公园,"116.15508,39.717288",14
北京市,天阅西山,"116.245137,40.078207",唐家岭奥特莱斯,"116.273021,40.06669",19
北京市,百旺茉莉园,"116.250536,40.048945",唐家岭奥特莱斯,"116.273021,40.06669",21
北京市,璀璨公元,"116.676471,39.867081",北京环球度假区,"116.681212,39.852698",17
北京市,金隅·花溪云锦,"116.694482,39.874388",北京环球度假区,"116.681212,39.852698",18
北京市,帅府·京彩世界,"116.649847,39.862537",北京环球度假区,"116.681212,39.852698",25
北京市,毛条小区,"116.249728,40.120108",北京大学国际医院,"116.263513,40.101167",23
北京市,天阅西山,"116.245137,40.078207",北京大学国际医院,"116.263513,40.101167",25
