POI名称,一级标签,二级标签,三级标签,四级标签,中心点经度,中心点纬度
观澜地铁站,交通,地铁站,非换乘,4号线/龙华线,114.054771,22.715172
华润万家旗下便利店,商业,大型超市,(null),(null),113.890897,22.589098
天虹(京基·百纳广场南山店),商业,购物中心,(null),(null),113.968678,22.531105
锦驰致富广场A座,商业,购物中心,(null),(null),113.931453,22.677413
龙华区中心医院景山社区健康服务站,医疗,综合医院,普通,(null),114.075838,22.693271
尖岗山公园,景观,公园,普通景点,(null),113.914231,22.590214
高新区西有轨电车站,交通,公交站,(null),(null),114.059021,22.689117
缤纷生活广场,商业,购物中心,(null),(null),114.11079,22.687436
黄阁坑地铁站,交通,地铁站,非换乘,(在建)16号线/龙坪线,114.218105,22.718643
径贝小学,教育,小学,普通,(null),113.875145,22.567781
沙荷路生态公园,景观,公园,普通景点,(null),114.192923,22.62178
葵涌中心小学,教育,小学,普通,(null),114.425666,22.6343
太子湾学校-小学部,教育,小学,普通,(null),113.92037,22.48544
黄麻布村公园,景观,公园,普通景点,(null),113.866193,22.66557
莲花山公园,景观,公园,普通景点,(null),114.058673,22.553594
深圳市南山区医疗集团总部西丽社区健康服务中心,医疗,综合医院,普通,(null),113.954615,22.577516
大顶岭山林公园,景观,公园,普通景点,(null),113.967446,22.757015
卓悦INTOWN购物中心东区,商业,购物中心,(null),(null),114.06502,22.531885
欣欣学校,教育,小学,普通,(null),114.022607,22.523311
鹏城荔枝公园,景观,公园,普通景点,(null),114.523194,22.592886
桥东社区公园,景观,公园,普通景点,(null),114.230859,22.549072
深圳市龙岗区德龙学校,教育,小学,普通,(null),114.207718,22.641048
牛栏前社区公园,景观,公园,普通景点,(null),114.035577,22.635291
燕子岭公园,景观,公园,普通景点,(null),114.358097,22.69756
深圳市光明区元山社区健康服务中心,医疗,综合医院,普通,(null),113.898122,22.786992
深圳市高级中学龙岗学校,教育,中学,普通,(null),114.3153,22.695534
大富公园,景观,公园,普通景点,(null),114.031393,22.728602
富源商业广场,商业,购物中心,(null),(null),113.97016,22.7034
坪山旧市场,商业,购物中心,(null),(null),114.347094,22.691244
深圳外国语学校(集团)龙华高中部,教育,中学,普通,(null),114.079243,22.688228
碧海湾地铁站,交通,地铁站,非换乘,11号线/机场线,113.856093,22.575073
市民社区公园-智慧公园,景观,公园,普通景点,(null),114.245387,22.718726
和享城市广场Aa栋,商业,购物中心,(null),(null),114.23796,22.558601
万象前海,商业,购物中心,(null),(null),113.899626,22.531015
应用公园,景观,公园,普通景点,(null),113.916732,22.58223
宝安中医院,医疗,综合医院,普通,(null),113.898484,22.571273
深圳市龙岗区第四人民医院尚峰社区健康服务中心,医疗,综合医院,普通,(null),114.137065,22.622309
迎宾街心公园,景观,公园,普通景点,(null),113.931876,22.750045
六约公园,景观,公园,普通景点,(null),114.187754,22.635309
晨光小学,教育,小学,普通,(null),114.235208,22.700381
金龙华广场,商业,购物中心,(null),(null),114.016871,22.661839
蚝二驿站公园,景观,公园,普通景点,(null),113.794795,22.74002
宝民小学,教育,小学,普通,(null),113.910966,22.565913
沙河医院白石洲社区健康服务中心,医疗,综合医院,普通,(null),113.966566,22.531704
芙蓉社康服务中心,医疗,综合医院,普通,(null),113.857232,22.729955
艺展小学,教育,小学,普通,(null),113.832561,22.78525
布心广场G栋,商业,购物中心,(null),(null),114.140515,22.577052
光明城地铁站,交通,地铁站,非换乘,(在建)6号线支线二期;(在建)地铁13号线二期北延,113.95349,22.73279
新塘山顶廉政文化公园,景观,公园,普通景点,(null),114.022924,22.721934
白沙岭社区公园,景观,公园,普通景点,(null),114.091806,22.55282
宝安区人民医院海华社区健康服务中心,医疗,综合医院,普通,(null),113.886834,22.56598
恒大商城(旗舰店),商业,购物中心,(null),(null),113.90098,22.563375
臣田公园,景观,公园,普通景点,(null),113.877095,22.592872
冠华育才学校,教育,中学,普通,(null),113.905421,22.575037
六一中学,教育,中学,普通,(null),114.020237,22.672581
西荟城购物中心B区,商业,购物中心,(null),(null),113.81672,22.732111
盒马鲜生(龙岗锦荟店),商业,大型超市,(null),(null),114.182186,22.633863
汇港购物中心,商业,购物中心,(null),(null),113.914649,22.485349
深圳市光明区实验学校(中学部),教育,中学,普通,(null),113.91168,22.756138
罗湖医院集团仙湖社区健康服务中心,医疗,综合医院,普通,(null),114.170194,22.564195
左炮台东地铁站,交通,地铁站,非换乘,(null),113.899025,22.469943
深圳市第二人民医院大鹏新区中心医院,医疗,综合医院,三甲,(null),114.422362,22.632282
华彩新天地(天成店),商业,购物中心,(null),(null),113.929958,22.518283
龙鹏学校,教育,中学,普通,(null),114.227101,22.639043
田贝地铁站,交通,地铁站,换乘二线,3号线/龙岗线;7号线/西丽线,114.130052,22.56728
交通主题公园,景观,公园,普通景点,(null),114.034398,22.556266
锦鲤有轨电车站,交通,公交站,(null),(null),114.049126,22.701058
中山公园地铁站,交通,地铁站,非换乘,(null),113.923342,22.54655
秀新学校,教育,中学,普通,(null),114.376751,22.738853
龙岗中心医院集团坪西社区健康服务中心,医疗,综合医院,普通,(null),114.294098,22.769902
华南城M23栋,商业,购物中心,(null),(null),114.128245,22.6724
陆兴小学,教育,小学,普通,(null),113.893852,22.588648
前海港湾小学,教育,小学,普通,(null),113.905404,22.53893
石鼓山公园,景观,公园,普通景点,(null),113.950471,22.578345
天虹商场(深圳南山常兴店),商业,购物中心,(null),(null),113.921789,22.533049
石井地铁站,交通,地铁站,非换乘,(在建)16号线/龙坪线,114.383157,22.691881
恒路创新广场,商业,购物中心,(null),(null),114.12058,22.67653
荔园小学玮鹏校区,教育,小学,重点,(null),114.094314,22.543007
深圳市福田区水围小学,教育,小学,普通,(null),114.064272,22.520275
玉龙公园,景观,公园,普通景点,(null),114.033096,22.598262
上海外国语大学附属龙岗学校,教育,中学,普通,(null),114.233278,22.689145
振华学校,教育,中学,普通,(null),113.90004,22.576972
金泉商业广场,商业,购物中心,(null),(null),114.19491,22.633893
玉龙湾公园,景观,公园,普通景点,(null),113.906516,22.728271
石岩环湖碧道石头山公园,景观,公园,普通景点,(null),113.911719,22.672716
深圳科学高中五和学校,教育,小学,普通,(null),114.067133,22.613539
新华社区健康服务中心,医疗,综合医院,普通,(null),114.043041,22.523602
大润家百货,商业,购物中心,(null),(null),114.373054,22.743695
竹香社区公园,景观,公园,普通景点,(null),114.013281,22.541532
四海文化广场,商业,购物中心,(null),(null),113.931451,22.494043
深圳市中新中学,教育,中学,普通,(null),114.360083,22.690992
文华社区公园,景观,公园,普通景点,(null),114.134949,22.545593
坪洲地铁站,交通,地铁站,非换乘,1号线/罗宝线,113.870711,22.568908
大鹏禾塘湿地园,景观,公园,普通景点,(null),114.524576,22.540241
南海商业广场,商业,购物中心,(null),(null),113.924307,22.645805
深圳市中兴小学,教育,小学,普通,(null),114.122035,22.60654
南湾人民医院桂芳园社区健康服务中心,医疗,综合医院,普通,(null),114.141496,22.615917
园中园商场,商业,购物中心,(null),(null),114.020866,22.652957
景田法治公园,景观,公园,普通景点,(null),114.045289,22.556256
深圳伟光医院,医疗,综合医院,普通,(null),114.043004,22.710786
华润万家(中海怡翠店),商业,大型超市,(null),(null),114.109323,22.623746
盒马邻里(深圳龙华滢水山庄店),商业,大型超市,(null),(null),114.053203,22.60115
万众城商业广场,商业,购物中心,(null),(null),114.038291,22.63865
康欣社区公园,景观,公园,普通景点,(null),114.036573,22.552713
翌巽商城(华南城2号交易广场店),商业,购物中心,(null),(null),114.130767,22.680797
人人购物广场(同乐同德路店),商业,购物中心,(null),(null),114.315147,22.713762
香蜜公园,景观,公园,普通景点,(null),114.022072,22.546652
BCIS,教育,中学,普通,(null),113.90364,22.594488
东门社区公园,景观,公园,普通景点,(null),114.122471,22.544213
平峦山地铁站,交通,地铁站,非换乘,(null),113.870905,22.60221
深圳市宝安中医院(集团),医疗,综合医院,三甲,(null),113.899095,22.571711
华润万家(吉祥路店),商业,大型超市,(null),(null),114.237628,22.730076
深圳市富源英美学校,教育,中学,普通,(null),113.859737,22.64094
排榜社区公园,景观,公园,普通景点,(null),114.198398,22.658181
深圳市坪地中学,教育,中学,普通,(null),114.301882,22.766613
深圳市南山区医疗集团总部大铲社区健康服务中心,医疗,综合医院,普通,(null),113.927124,22.489057
富坪地铁站,交通,地铁站,非换乘,(在建)3号线东延线,114.310743,22.780139
边溪街心公园,景观,公园,普通景点,(null),114.987467,22.840762
赤湾公园,景观,公园,普通景点,(null),113.885971,22.479601
大剧院地铁站,交通,地铁站,换乘二线,(在建)5号线西延线;1号线/罗宝线;2号线(8号线),114.107811,22.5418
海乐社区公园,景观,公园,普通景点,(null),113.892821,22.558645
天富商贸城,商业,购物中心,(null),(null),114.018087,22.743322
深圳市凤凰培英文武实验学校,教育,中学,普通,(null),113.901509,22.750546
吉祥地铁站,交通,地铁站,非换乘,3号线/龙岗线,114.244318,22.709488
盒马邻里(深圳光明益田假日府邸店),商业,大型超市,(null),(null),113.904123,22.767213
海怡湾商业广场,商业,购物中心,(null),(null),113.942654,22.489176
TOCITY,商业,购物中心,(null),(null),113.947282,22.680278
融湖广场,商业,购物中心,(null),(null),114.122082,22.692841
流塘小学,教育,小学,普通,(null),113.887584,22.581978
杨屋马鞍山生态公园,景观,公园,普通景点,(null),113.852284,22.836359
乾龙社康服务中心,医疗,综合医院,普通,(null),114.042538,22.609645
万科城社区健康服务中心,医疗,综合医院,普通,(null),114.073604,22.645194
华南城T10栋,商业,购物中心,(null),(null),114.12973,22.679747
龙井地铁站,交通,地铁站,非换乘,7号线/西丽线,113.974687,22.56401
坪山河公园,景观,公园,普通景点,(null),114.328092,22.682304
雅时尚商场,商业,购物中心,(null),(null),113.842852,22.717195
深圳市南山区医疗集团总部荔湾社区健康服务中心,医疗,综合医院,普通,(null),113.906348,22.511058
肖传国医院,医疗,综合医院,普通,(null),114.070601,22.656664
家乐福(西乡),商业,大型超市,(null),(null),113.881,22.582205
甘李学校,教育,中学,普通,(null),114.112394,22.654479
双界河社区公园,景观,公园,普通景点,(null),113.912159,22.554043
华润置地赤河广场,商业,购物中心,(null),(null),115.05451,22.835687
龙岗中心医院集团同德社区健康服务中心,医疗,综合医院,普通,(null),114.322671,22.732093
石岩湿地公园,景观,公园,普通景点,(null),113.911142,22.689513
金晟广场,商业,购物中心,(null),(null),114.358221,22.701917
深圳市未来小学,教育,小学,普通,(null),114.015222,22.635146
八仙岭公园,景观,公园,普通景点,(null),114.277744,22.715735
喜荟城,商业,购物中心,(null),(null),114.140288,22.568167
同观路地铁站,交通,地铁站,非换乘,(在建)地铁13号线二期北延,113.94872,22.738482
大水坑一村街心公园,景观,公园,普通景点,(null),114.005494,22.729947
芙蓉体育公园,景观,公园,普通景点,(null),113.863336,22.727509
屯富公园,景观,公园,普通景点,(null),114.326373,22.781246
华夏路地铁站,交通,地铁站,非换乘,(在建)6号线支线二期,113.949911,22.750132
歌剧院地铁站,交通,地铁站,非换乘,(在建)13号线二期南延,113.940675,22.483662
宏兴百货(桃苑居店),商业,购物中心,(null),(null),113.936929,22.686484
莲塘长岭社区公园,景观,公园,普通景点,(null),114.183638,22.556146
HALO PLACE(HALO广场店),商业,购物中心,(null),(null),114.106983,22.558672
华富社区公园,景观,公园,普通景点,(null),114.081187,22.5558
塘尾地铁站,交通,地铁站,非换乘,11号线/机场线,113.817878,22.702075
三共公园,景观,公园,普通景点,(null),114.03411,22.66264
佳兆业·东大街商业广场,商业,购物中心,(null),(null),114.14095,22.610643
PAFC MALL,商业,购物中心,(null),(null),114.055669,22.533175
丽山文体公园,景观,公园,普通景点,(null),113.963591,22.588867
高新园社区健康服务中心,医疗,综合医院,普通,(null),113.913486,22.726825
深圳市第二高级中学,教育,中学,重点,(null),113.936289,22.570307
名浩鑫商业广场,商业,购物中心,(null),(null),113.785563,22.73986
横岗高级中学,教育,中学,重点,(null),114.182561,22.637244
龙岗中心医院愉园社区健康服务中心,医疗,综合医院,普通,(null),114.233601,22.721713
深圳市龙岗区时代学校,教育,中学,普通,(null),114.108392,22.621855
大和有轨电车站,交通,公交站,(null),(null),114.049626,22.689652
华南师范大学附属龙岗雅宝小学,教育,小学,普通,(null),114.064846,22.604285
绿景佐阾虹湾购物中心,商业,购物中心,(null),(null),114.039316,22.560705
马山头社区健康服务中心,医疗,综合医院,普通,(null),113.880982,22.779765
万丰湖湿地公园,景观,公园,普通景点,(null),113.827362,22.70338
卓悦时光购物中心,商业,购物中心,(null),(null),113.812437,22.737026
德风学校,教育,小学,普通,(null),114.100513,22.71832
白石龙音乐主题公园,景观,公园,普通景点,(null),114.038666,22.597179
深圳市沙井上南学校,教育,中学,普通,(null),113.84419,22.722178
深圳科城实验学校,教育,中学,普通,(null),114.123943,22.612527
沙湾关口公园,景观,公园,普通景点,(null),114.163049,22.60668
黄田小学,教育,小学,重点,(null),113.840338,22.62771
龙华区人民医院宝龙社康中心,医疗,综合医院,普通,(null),114.019826,22.674864
平湖地铁站,交通,地铁站,非换乘,10号线/坂田线,114.125805,22.69367
龙岗区人民医院五联社区卫生服务中心,医疗,综合医院,普通,(null),114.24313,22.753929
塘家社康服务中心,医疗,综合医院,普通,(null),113.937715,22.73344
翠园实验学校,教育,中学,普通,(null),114.139694,22.55082
联投东方PARK,商业,购物中心,(null),(null),113.858677,22.760609
深圳市坪山区妇幼保健院,医疗,专科医院,普通,(null),114.369225,22.746719
集银广场A栋,商业,购物中心,(null),(null),114.284779,22.739812
九州商业广场,商业,购物中心,(null),(null),114.261767,22.726115
荔园小学,教育,小学,重点,(null),114.097006,22.54597
坪西地铁站,交通,地铁站,非换乘,(在建)3号线东延线,114.282266,22.763483
金凤凰购物广场,商业,购物中心,(null),(null),113.840901,22.695024
坪山区人民医院田心社区健康服务中心,医疗,综合医院,普通,(null),114.420441,22.693389
新安地铁站,交通,地铁站,非换乘,1号线/罗宝线,113.894625,22.547468
福田区赤尾社区健康服务中心,医疗,综合医院,普通,(null),114.086656,22.531997
深铁大厦社区公园,景观,公园,普通景点,(null),114.115614,22.538918
银湖二小,教育,小学,普通,(null),114.079526,22.571948
白鸽湖文化公园,景观,公园,普通景点,(null),114.088725,22.694036
深圳市龙岗区中医院,医疗,综合医院,三甲,(null),114.215663,22.708249
深圳市百外世纪小学,教育,小学,普通,(null),114.12684,22.594977
坪山第二小学,教育,小学,普通,(null),114.376105,22.687142
西湾滨海公园,景观,公园,普通景点,(null),113.833225,22.596491
东海城市广场,商业,购物中心,(null),(null),114.02114,22.540541
南湾社区公园,景观,公园,普通景点,(null),114.123713,22.648008
西丽高铁站地铁站,交通,地铁站,非换乘,(在建)13号线/石岩线,113.943524,22.566903
松岗人民医院江边社区健康服务中心,医疗,综合医院,普通,(null),113.817769,22.773587
水美小学,教育,小学,普通,小学,115.005789,22.813371
五和社康服务中心,医疗,综合医院,普通,(null),114.063327,22.619091
世纪荟,商业,购物中心,(null),(null),113.945697,22.680197
东北师范大学深圳坪山实验学校,教育,中学,普通,(null),114.34343,22.697794
荟悦城生活广场,商业,购物中心,(null),(null),113.895435,22.582213
龙城高级中学,教育,中学,重点,(null),114.215747,22.731659
公明社区健康服务中心,医疗,综合医院,普通,(null),113.888511,22.78323
坪山中学,教育,中学,普通,(null),114.348303,22.685792
车车澡堂天虹洗车中心(新沙天虹购物中心店),商业,购物中心,(null),(null),113.80036,22.72983
元芬社康服务中心,医疗,综合医院,普通,(null),114.000121,22.654617
黄贝岭地铁站,交通,地铁站,换乘二线,(在建)5号线西延线;2号线(8号线);5号线/环中线,114.136332,22.546095
文天祥纪念公园,景观,公园,普通景点,(null),113.899566,22.474473
龙岗湿地公园,景观,公园,普通景点,(null),114.294381,22.750368
荣安广场,商业,购物中心,(null),(null),114.134253,22.69996
华凯百货(万豪店),商业,购物中心,(null),(null),113.904929,22.754896
深圳市坪地中心小学,教育,小学,普通,(null),114.303556,22.767312
立新湖外国语学校,教育,中学,普通,(null),113.812013,22.677192
MOREFUN商场,商业,购物中心,(null),(null),114.135108,22.545433
杜鹃公园,景观,公园,普通景点,(null),114.17179,22.639106
深圳市翠北小学,教育,小学,普通,(null),114.129395,22.566988
华润万家标超南区(兰亭国际分店),商业,大型超市,(null),(null),114.157534,22.553369
兰亭国际MALL,商业,购物中心,(null),(null),114.156848,22.553295
深圳市宝安区第五人民医院,医疗,综合医院,普通,(null),113.841166,22.776008
深圳实验学校光明部,教育,中学,重点,(null),113.940147,22.749551
民清社康服务中心,医疗,综合医院,普通,(null),114.042494,22.648309
天源隆商场(大洋田店),商业,购物中心,(null),(null),113.819247,22.69069
新陂头南湿地公园,景观,公园,普通景点,(null),113.942297,22.785155
西乡中学初中部,教育,中学,普通,(null),113.877725,22.578245
官湖学校,教育,中学,普通,(null),114.424453,22.605057
深圳市蚝业小学,教育,小学,普通,(null),113.80547,22.740194
京基·百纳广场(沙井店),商业,购物中心,(null),(null),113.806089,22.727849
甘坑湿地公园,景观,公园,普通景点,(null),114.102794,22.663421
龙湾社区健康服务中心,医疗,综合医院,普通,(null),114.368937,22.753894
购物商业广场,商业,购物中心,(null),(null),114.133295,22.547059
贝尔路地铁站,交通,地铁站,非换乘,10号线/坂田线,114.066366,22.641719
步涌地铁站,交通,地铁站,非换乘,(在建)12号线二期,113.811832,22.757131
天源隆广场(步涌店),商业,购物中心,(null),(null),113.811301,22.758515
观澜湖地铁站,交通,地铁站,非换乘,4号线/龙华线,114.076271,22.721616
幸福湾社区公园,景观,公园,普通景点,(null),114.274106,22.585024
深圳市南山区丽湖学校,教育,中学,普通,(null),113.959095,22.588878
后瑞地铁站,交通,地铁站,非换乘,1号线/罗宝线,113.835449,22.628835
乐兴百货,商业,购物中心,(null),(null),114.428201,22.63529
龙胜公园,景观,公园,普通景点,(null),114.013853,22.650439
深圳厚德医院,医疗,综合医院,普通,(null),114.011922,22.673631
水径小学,教育,小学,普通,(null),114.109716,22.620819
水流田公园,景观,公园,普通景点,(null),114.305568,22.706022
金华晨百货,商业,购物中心,(null),(null),114.214438,22.668518
麦德龙(深圳宝安商场),商业,大型超市,(null),(null),113.905824,22.566732
新安公园地铁站,交通,地铁站,非换乘,(null),113.911652,22.561418
深圳市东晓小学,教育,小学,普通,(null),114.138286,22.577753
西乡企龙山生态公园,景观,公园,普通景点,(null),113.891976,22.597986
竹韵公园,景观,公园,普通景点,(null),113.951399,22.744557
桥头社区公园,景观,公园,普通景点,(null),113.80715,22.687598
深圳湾学校,教育,中学,普通,(null),113.94309,22.496011
深圳燕罗塘医院,医疗,综合医院,普通,(null),113.842053,22.798487
平湖美康百货,商业,购物中心,(null),(null),114.126714,22.701236
深圳坪山益田假日世界,商业,购物中心,(null),(null),114.338675,22.692842
宝龙社区公园,景观,公园,普通景点,(null),114.301935,22.690141
深圳市龙津中学,教育,中学,普通,(null),113.772854,22.735333
益田地铁站,交通,地铁站,非换乘,3号线/龙岗线,114.050987,22.516287
南山实验教育集团麒麟小学,教育,小学,普通,(null),113.929861,22.545533
福海西地铁站,交通,地铁站,非换乘,(null),113.789475,22.688318
白石厦体育公园,景观,公园,普通景点,(null),113.821686,22.680188
瑞和建业商城,商业,购物中心,(null),(null),114.18981,22.635275
坪地六联小学,教育,小学,普通,(null),114.325631,22.78834
NICO女人名店,商业,购物中心,(null),(null),114.085578,22.544646
和平时尚广场,商业,购物中心,(null),(null),113.79349,22.689532
深圳市福田外国语高级中学,教育,中学,普通,(null),114.046852,22.513671
深圳宝兴医院金塘社区健康服务中心,医疗,综合医院,普通,(null),114.225728,22.636499
南坑社康服务中心,医疗,综合医院,普通,(null),114.063327,22.614159
宝地利百货(新樟路),商业,购物中心,(null),(null),114.09044,22.700877
樟坑径公园,景观,公园,普通景点,(null),114.081506,22.680113
笋岗中学,教育,中学,普通,(null),114.105413,22.570527
深圳市宝安区石岩人民医院官田社区健康服务中心,医疗,综合医院,普通,(null),113.944707,22.679921
花半里社康服务中心,医疗,综合医院,普通,(null),114.048738,22.674482
光明医院社康管理中心,医疗,综合医院,普通,(null),113.943638,22.765698
郊野公园,景观,公园,普通景点,(null),113.858531,22.702808
车公庙地铁站,交通,地铁站,换乘四线,11号线/机场线;1号线/罗宝线;7号线/西丽线;9号线/梅林线,114.02583,22.536247
华侨城医院中旅广场社区健康服务中心,医疗,综合医院,普通,(null),113.983148,22.536675
天璟公园,景观,公园,普通景点,(null),113.926127,22.510159
深圳市龙华区精英学校,教育,中学,普通,(null),114.03011,22.710025
回龙埔公园,景观,公园,普通景点,(null),114.242105,22.735712
深圳市龙华区科技中学,教育,中学,普通,(null),114.063553,22.732953
根竹园社区健康服务中心,医疗,综合医院,普通,(null),113.874244,22.772499
百佳永乐购物广场,商业,购物中心,(null),(null),114.191918,22.636086
北京中医药大学深圳医院龙岗京基御景社区健康服务中心,医疗,综合医院,普通,(null),114.208675,22.705033
水围社区健康服务中心,医疗,综合医院,普通,(null),114.062919,22.519862
盒马邻里(深圳宝安丽都花园店),商业,大型超市,(null),(null),113.8371,22.716891
光明新区实验学校(小学部),教育,小学,普通,(null),113.91016,22.755847
桥头地铁站,交通,地铁站,非换乘,11号线/机场线,113.811001,22.688133
沃尔玛宜城广场(坪洲百货店),商业,大型超市,(null),(null),114.307297,22.768843
官龙村社区公园(官龙路),景观,公园,普通景点,(null),113.946823,22.585678
深圳市龙岗区新木小学,教育,小学,普通,(null),114.124468,22.67002
深圳市福田区教科院附小,教育,小学,普通,(null),114.010331,22.536192
德冠廷商业中心,商业,购物中心,(null),(null),113.900973,22.572992
西乡小学,教育,小学,普通,(null),113.876623,22.576065
中国科学院大学深圳医院社康管理中心,医疗,综合医院,普通,(null),113.888601,22.783284
马家龙街心公园,景观,公园,普通景点,(null),113.92873,22.543369
留仙公园,景观,公园,普通景点,(null),113.930659,22.580758
庚子首义中山纪念学校,教育,小学,普通,(null),114.261708,22.588425
沿港社区公园,景观,公园,普通景点,(null),114.273263,22.588221
龙华高级中学(观澜校区),教育,中学,普通,(null),114.05874,22.731768
82区社区公园,景观,公园,普通景点,(null),113.882808,22.563738
杰鹏商业广场,商业,购物中心,(null),(null),113.833172,22.695824
西涌鹤薮公园,景观,公园,普通景点,(null),114.538082,22.481062
华润万家标超南区(光明壹号店),商业,大型超市,(null),(null),113.928178,22.735671
环观南雨水花园,景观,公园,普通景点,(null),114.045577,22.690848
智慧缤纷购物广场(创新智慧港店),商业,购物中心,(null),(null),113.855043,22.71216
深圳市公园管理中心红岗公园,景观,公园,普通景点,(null),114.104561,22.574584
茂亚百货,商业,购物中心,(null),(null),113.929004,22.518932
华瑞百货,商业,购物中心,(null),(null),113.913836,22.717453
TT国际街区,商业,购物中心,(null),(null),114.040976,22.552219
下李朗小学,教育,小学,普通,(null),114.137091,22.64046
沙井四村公园,景观,公园,普通景点,(null),113.807662,22.744619
深圳育才二中,教育,中学,普通,(null),113.928748,22.496985
民生商场(雁盟文化大创意产业园店),商业,购物中心,(null),(null),113.842458,22.694041
深圳市第二人民医院,医疗,综合医院,三甲,(null),114.08574,22.557275
深圳市坪山区东纵小学,教育,小学,普通,(null),114.366303,22.685231
华润万家(坪山六和店),商业,大型超市,(null),(null),114.339748,22.693145
盐田食街地铁站,交通,地铁站,非换乘,(在建)8号线二期,114.27522,22.587432
横岗中心学校,教育,小学,普通,(null),114.211796,22.635874
兴悦广场,商业,购物中心,(null),(null),113.840831,22.636923
南油社区公园,景观,公园,普通景点,(null),113.927428,22.507422
禾花社区地书广场,景观,公园,普通景点,(null),114.117504,22.684865
深圳市燕川中学,教育,中学,普通,(null),113.867127,22.805016
塘坑地铁站,交通,地铁站,非换乘,3号线/龙岗线,114.192725,22.639179
深圳市第三高级中学,教育,中学,重点,(null),114.220247,22.706705
宝安中学(集团)实验学校,教育,中学,普通,(null),113.91526,22.585323
光明地铁站,交通,地铁站,非换乘,(null),113.945204,22.7716
锦龙社区公园,景观,公园,普通景点,(null),114.319902,22.695321
五方广场,商业,购物中心,(null),(null),114.132679,22.568296
欢乐港湾旅游景区,景观,公园,3A级景区,(null),113.884049,22.543389
暨南大学附属深圳华侨医院,医疗,综合医院,普通,(null),114.143853,22.687501
