中心小区名称,竞品小区名称,距离
美之园西区,星河景庭公寓,1.0
美之园西区,名仁家园,0.93
美之园西区,华瑞湘湖美地,0.24
美之园西区,湘湖家园,0.74
美之园西区,湖畔公寓,0.62
美之园西区,御江南华庭,0.76
明江苑,通惠丽港,0.13
明江苑,通惠江南名府,0.84
明江苑,雅棠轩,0.29
明江苑,中旅名门府,0.46
明江苑,融信展望,1.0
明江苑,新城璟隽公馆,0.42
明江苑,天钜银河府,0.44
明江苑,融创望海潮公寓,0.51
明江苑,新越锦粼府,0.48
明江苑,中誉现代城,0.92
明江苑,锦粼云荟,0.6
明江苑,华瑞晴庐,0.63
明江苑,和雅轩,0.28
明江苑,滨江望涛月明,0.85
明江苑,融信江南学府,0.33
明江苑,新世界柏丽轩,0.33
明江苑,嘉利公寓,0.68
明江苑,东方名府,0.58
明江苑,博学玉府,0.94
明江苑,通惠花园,0.1
明江苑,天海阳光地带,0.11
万陈花苑,中梁百悦城,0.5
万陈花苑,上坤山语四季,0.63
万陈花苑,众安理想湾,0.49
万陈花苑,咏翠芳华轩,0.64
钱江国际商务中心,太和广场,0.22
钱江国际商务中心,美政花苑,0.62
钱江国际商务中心,二凉亭,0.86
钱江国际商务中心,洪福桥18号,0.49
钱江国际商务中心,柴校坊,0.65
钱江国际商务中心,南瓦坊,0.47
钱江国际商务中心,南星公寓,0.71
钱江国际商务中心,紫花苑,0.45
钱江国际商务中心,秋涛南苑,0.66
钱江国际商务中心,春江花月,0.63
钱江国际商务中心,凤凰南苑,0.43
钱江国际商务中心,蓝江公寓,0.69
钱江国际商务中心,凤凰北苑,0.76
钱江国际商务中心,凤凰城广场,0.2
钱江国际商务中心,江枫苑,0.89
钱江国际商务中心,秋江雅院,0.33
钱江国际商务中心,凤凰新村,0.94
钱江国际商务中心,钱塘雅苑,0.26
钱江国际商务中心,海运国际大厦,0.23
钱江国际商务中心,木材新村,0.77
钱江国际商务中心,复兴东苑,0.41
钱江国际商务中心,新工新村,0.76
联城公寓,龙王公寓,0.92
联城公寓,金箭公寓,0.45
联城公寓,啤酒城宿舍,0.18
联城公寓,CBC时代大观,0.86
联城公寓,新城花苑,0.39
联城公寓,爱民小区,0.66
联城公寓,南苑一区,0.34
联城公寓,新城都市丽景南区,0.75
联城公寓,东海花园,0.48
联城公寓,新城都市丽景北区,0.76
联城公寓,思惠家园,0.93
联城公寓,紫兰花苑,0.94
联城公寓,临平新丰苑,0.5
联城公寓,府景公寓,0.85
联城公寓,高速住宅,0.2
联城公寓,河畔新村,0.54
联城公寓,临平芳满庭,0.17
联城公寓,藕花苑,0.78
联城公寓,和合财富中心,1.0
联城公寓,名苑公寓,0.42
联城公寓,中意名仕苑,0.22
联城公寓,四维公寓,0.86
联城公寓,南苑二区(余杭),0.19
联城公寓,华鼎豪园,0.93
联城公寓,金桥花苑,0.12
联城公寓,胡姬花园,0.41
联城公寓,环岛公寓,0.79
联城公寓,大美公寓,0.78
联城公寓,华源天盛中心,0.93
联城公寓,万丽璞丽,0.97
联城公寓,理想银泰城,0.64
联城公寓,景和园,0.33
联城公寓,安盛家园,0.21
联城公寓,绿城玉园,0.84
联城公寓,苑中园,0.24
联城公寓,金盛花苑,0.27
联城公寓,临平百合苑,0.55
西雅园,柏源晶舍,0.98
西雅园,同德公寓,0.51
西雅园,忆江南家园,0.81
西雅园,临安人家,0.79
西雅园,蓝城恒伟江南山庄,0.71
西雅园,苕溪学府,0.79
西雅园,春和景明院,0.92
西雅园,褐石公馆,0.76
西雅园,碧桂园中梁凤朝鸣庭,0.42
西雅园,紫竹苑,0.34
西雅园,恒锦苑,1.0
西雅园,星著柏悦府,0.68
西雅园,家和苑,0.55
西雅园,春天学府,0.27
西雅园,大华玲珑苑,0.85
西雅园,绿岛花园北区,0.5
西雅园,城中府,0.42
西雅园,锦天花园,0.89
西雅园,金色时代,0.5
西雅园,太阳城花园,0.53
西雅园,绿岛花园南区,0.65
西雅园,中天宸锦学府,0.67
西雅园,中天大家宸澜学府,0.44
西雅园,亲和家园,0.78
西雅园,春天,0.48
西雅园,长麓府,0.18
西雅园,玲珑花园,0.93
西雅园,金盾花园,0.97
西雅园,南洋名都,0.84
圆通公寓,广电小区,0.22
圆通公寓,陆家湾,0.26
圆通公寓,鑫鑫小区,0.92
圆通公寓,金都花园,0.9
圆通公寓,迎春街20号,0.84
圆通公寓,柯家塆山庄,0.37
圆通公寓,洋塘小区,0.85
圆通公寓,建设小区,0.25
圆通公寓,富春居,0.36
圆通公寓,山水公寓,0.97
太和广场,钱江国际商务中心,0.22
太和广场,美政花苑,0.83
太和广场,金隅学府,0.93
太和广场,二凉亭,0.72
太和广场,洪福桥18号,0.48
太和广场,柴校坊,0.56
太和广场,南瓦坊,0.42
太和广场,南星公寓,0.68
太和广场,紫花苑,0.66
太和广场,秋涛南苑,0.5
太和广场,凤山花苑,1.0
太和广场,春江花月,0.42
太和广场,滨江金色家园,0.88
太和广场,凤凰南苑,0.28
太和广场,蓝江公寓,0.87
太和广场,凤凰北苑,0.56
太和广场,城南家园,0.97
太和广场,凤凰城广场,0.1
太和广场,江枫苑,0.82
太和广场,秋江雅院,0.35
太和广场,钱塘雅苑,0.48
太和广场,海运国际大厦,0.3
太和广场,木材新村,0.61
太和广场,复兴东苑,0.63
太和广场,新工新村,0.65
仁良花苑,金鼎阳光公寓,0.9
仁良花苑,清合嘉园西区,0.82
仁良花苑,北城芳满庭,0.18
仁良花苑,仁合银庭,0.66
锦绣江南,水印城,0.72
锦绣江南,白金海岸,0.23
锦绣江南,绿城九龙仓柳岸晓风,0.74
锦绣江南,江南国美家园,0.83
锦绣江南,中南公寓,0.36
锦绣江南,海威国际公寓,1.0
锦绣江南,春江时代花园,0.55
锦绣江南,半岛国际,0.82
悦恺公寓,星运丽园,0.5
悦恺公寓,太平永顺苑,0.97
悦恺公寓,月映星语园,0.77
悦恺公寓,星运丽园兰逸,0.81
悦恺公寓,瑞金华翠嘉苑,0.44
悦恺公寓,星翠芳华府,0.24
悦恺公寓,融创融耀之城,0.54
悦恺公寓,天都城沁源公寓,0.81
悦恺公寓,瑞金华丽嘉苑,0.43
悦恺公寓,广厦天都城天风苑,0.99
悦恺公寓,星雅嘉园,0.48
悦恺公寓,华艺星座,0.53
悦恺公寓,经纬美耀湾,0.76
悦恺公寓,黄鹤山居,0.89
悦恺公寓,星桥桂花城,0.93
悦恺公寓,七彩星商业中心,0.59
悦恺公寓,学成府,0.29
悦恺公寓,美好桂花金座,0.35
悦恺公寓,瑞金华庭嘉苑,0.74
悦恺公寓,嘉和银领时代,0.59
悦恺公寓,通和十二橡树,0.82
悦恺公寓,绿城紫桂公寓,0.71
悦恺公寓,桂花星座,0.99
悦恺公寓,金辉蓝光辉逸云筑,0.69
悦恺公寓,滨沁公寓,0.74
悦恺公寓,悦泽公寓,0.59
新白马公寓,众安国泰花园,0.68
新白马公寓,北辰国颂府,0.29
新白马公寓,顺发旭辉国悦府,0.79
新白马公寓,怡和公寓,0.83
新白马公寓,太古广场,0.41
新白马公寓,盛元蓝爵国际,0.66
新白马公寓,沁茵园,0.91
新白马公寓,广聚公寓,1.0
新白马公寓,旺角晶座,0.94
新白马公寓,众安恒隆广场,0.31
新白马公寓,开元加州阳光小区,0.98
新白马公寓,萧然人家,0.9
新白马公寓,心意广场,0.32
新白马公寓,萧杭人家,0.98
新白马公寓,市心中路1028号,1.0
新白马公寓,高运锦园,0.44
新白马公寓,永盛家园,0.62
新白马公寓,怡佳公寓,0.73
新白马公寓,金茂大厦,0.97
新白马公寓,知稼苑,0.38
新白马公寓,融创臻源锦宁里,0.51
新白马公寓,城北新村,0.56
新白马公寓,家乐公寓,0.15
新白马公寓,城中花园(萧山),0.74
新白马公寓,城品华庭,0.86
新白马公寓,开元加州阳光广场,0.81
新白马公寓,星都花园(萧山),0.86
新白马公寓,绿地G合里金宸,0.62
新白马公寓,东信莱茵园,0.58
新白马公寓,金帝高新科技广场,0.69
新白马公寓,帝凯大厦,0.36
新白马公寓,金浦明苑西区,0.59
新白马公寓,金浦明苑东区,0.66
新白马公寓,名仁家园,0.67
新白马公寓,天润商业中心,0.85
新白马公寓,萧山时代广场,0.86
新白马公寓,金地德圣中心,0.81
新白马公寓,西湘公寓,0.84
新白马公寓,绿都世贸广场,0.62
新白马公寓,合景天誉,0.3
新白马公寓,天汇园,0.55
新白马公寓,御江南华庭,0.79
中山花园,永通信息广场,0.88
中山花园,金都华庭,0.86
中山花园,中山北路小区,0.07
中山花园,万寿亭公寓,0.94
中山花园,河西南38号,0.65
中山花园,京都苑,0.84
中山花园,新湖武林国际公寓,0.76
中山花园,屏风苑小区,0.96
中山花园,滨河公寓,0.58
中山花园,施家桥,0.67
中山花园,南都天水苑,0.88
中山花园,天巢花苑,0.83
中山花园,小北门,0.38
中山花园,环北新村,0.79
中山花园,青园小区,0.6
中山花园,打铁关小区,0.99
中山花园,豆腐里,0.95
中山花园,水星阁,0.65
中山花园,绿城深蓝广场,0.26
中山花园,延安新村,0.94
中山花园,慎修里,0.81
中山花园,朝晖二区,0.95
中山花园,大家武林府,0.4
中山花园,绿洲花园,0.68
中山花园,嘉璟华庭,0.96
中山花园,武林外滩,0.86
中山花园,黎明园,0.83
中山花园,光辉岁月公寓,0.99
中山花园,长征新村,0.93
中山花园,嘉汇大厦,0.41
中山花园,钛合国际,0.46
中山花园,平安居,0.95
中山花园,西湖新城,0.25
中山花园,胭脂新村,0.53
中山花园,新世纪大厦,0.87
中山花园,国都发展大厦,0.26
中山花园,武林公寓,0.8
中山花园,新坝,0.83
中山花园,武林壹号,0.85
中山花园,延龄苑,0.99
中山花园,中北西子花园,0.32
中山花园,联锦大厦,0.51
中山花园,和平小区,0.9
中山花园,白马公寓,0.68
中山花园,朝晖一区,0.77
中山花园,中山北园,0.16
中山花园,施家花园,0.51
中山花园,文晖里,0.99
中山花园,通盛嘉苑,0.49
中山花园,文晖苑,0.64
中山花园,木庵小区,0.99
中山花园,绿洲之馨公寓,0.58
中山花园,中北花园,0.24
中山花园,玄坛公寓,0.86
中山花园,田家桥,0.7
中山花园,万寿亭街小区,0.94
中山花园,西子大厦,0.75
嘉南公寓,春江景苑龙腾园,0.67
嘉南公寓,上林春天,0.21
嘉南公寓,广业影城嘉园,0.83
嘉南公寓,滨江中杭小区,0.91
嘉南公寓,宋都如意云庐,0.36
嘉南公寓,江南小区,0.83
嘉南公寓,滨江花园,0.66
嘉南公寓,富欧罗兰公寓,0.7
嘉南公寓,申基金色蓝庭,0.95
嘉南公寓,上尚府,0.27
嘉南公寓,金马新苑,0.91
嘉南公寓,金龙花园,0.98
嘉南公寓,江城墅园,0.4
嘉南公寓,一品江山,0.69
嘉南公寓,乔林新城,0.82
嘉南公寓,山水圣邸,0.16
嘉南公寓,春江景苑龙祥园,0.42
保亿绿城奥邸国际,IOC潮悦公馆,0.35
保亿绿城奥邸国际,信融御金台,0.64
保亿绿城奥邸国际,深蓝国际中心,0.26
保亿绿城奥邸国际,旭辉和昌都会山,0.92
保亿绿城奥邸国际,世华帝宝大厦,0.56
保亿绿城奥邸国际,利二花苑,0.83
保亿绿城奥邸国际,观雲钱塘城,0.47
保亿绿城奥邸国际,滨江观品,0.19
勇进二轻楼,鑫福浦园,0.77
勇进二轻楼,西江银座,0.24
勇进二轻楼,浴美苑,0.99
勇进二轻楼,香格名苑,0.84
勇进二轻楼,文华公寓,0.62
勇进二轻楼,永翔公寓,0.13
勇进二轻楼,戴家桥公寓,0.21
勇进二轻楼,浴美施路住宅区,0.21
勇进二轻楼,广浦公寓,0.85
勇进二轻楼,东藩小区,0.46
勇进二轻楼,峙山西苑,0.68
勇进二轻楼,西江塘小区,0.33
勇进二轻楼,汇秀山庄,0.36
勇进二轻楼,里河公寓,0.33
江南明珠,滨江新希望新城海名雅园,0.56
江南明珠,金凌花园,0.55
江南明珠,东傲城,0.78
江南明珠,江盛江南岸,0.1
江南明珠,紫瑞华庭,0.59
江南明珠,佳源驭远玖墅,0.67
江南明珠,大华潮悦前城,0.6
江南明珠,新湾商贸中心,0.66
江南明珠,南沙新苑,0.8
江南明珠,翡玥府,0.19
江南明珠,宋都新宸悦府,0.2
江南明珠,华彩名府,0.31
江南明珠,万固珺府,0.38
绿城西子郁金香岸,萧山龙山化工厂宿舍,0.69
绿城西子郁金香岸,府尚别墅,0.6
绿城西子郁金香岸,桥头宿舍,0.64
绿城西子郁金香岸,戈雅公寓,0.46
中兴御田清庭,首开天青里,0.84
中兴御田清庭,联合畔上居,0.45
中兴御田清庭,青坤青亭商业中心,0.33
中兴御田清庭,首开望宸,0.58
中兴御田清庭,成功时大大厦,0.91
中兴御田清庭,绿城青亭,0.12
中兴御田清庭,启迪协信科技城,0.84
保利和者时光印象府,钱纺宿舍,0.55
保利和者时光印象府,永和之星,0.78
保利和者时光印象府,郡望府,0.99
保利和者时光印象府,花城名苑,0.3
保利和者时光印象府,新盈名苑,0.58
荣栖贤府,西径晓风苑,0.3
荣栖贤府,融创金成璞樾大观,0.31
荣栖贤府,状元府,0.57
杜甫新苑杜雅苑,未来城一期,0.94
杜甫新苑杜雅苑,万科未来之光,0.67
杜甫新苑杜雅苑,万科未来城二期,0.87
杜甫新苑杜雅苑,亿丰蔚蓝郡,0.84
杜甫新苑杜雅苑,中巢起梦公园,0.29
杜甫新苑杜雅苑,三墩景溪南苑,1.0
杜甫新苑杜雅苑,严村里,0.88
杜甫新苑杜雅苑,三墩景溪北苑,0.99
北干二苑,山北新苑,0.51
北干二苑,新安园,0.41
北干二苑,顺发旭辉国悦府,0.86
北干二苑,沁茵园,0.75
北干二苑,银通大厦,0.53
北干二苑,旺角晶座,0.68
北干二苑,众安恒隆广场,0.99
北干二苑,永久公寓,0.19
北干二苑,绿茵园小区,0.19
北干二苑,广德小区,0.8
北干二苑,金马飞鸟集,0.7
北干二苑,永盛家园,0.68
北干二苑,金茂大厦,0.54
北干二苑,名城大厦,0.51
北干二苑,众安白马御府,0.95
北干二苑,城建公寓,0.54
北干二苑,山阴小区,0.13
北干二苑,融信萧山公馆,0.68
北干二苑,融创臻源锦宁里,0.9
北干二苑,华润万象汇,0.61
北干二苑,北干一苑,0.19
北干二苑,北干二苑新安寓,0.39
北干二苑,城中花园(萧山),0.63
北干二苑,红枫小区,0.26
北干二苑,山河花园,0.47
北干二苑,银河小区,0.75
北干二苑,凯悦花园,0.26
北干二苑,星都花园(萧山),0.64
北干二苑,绿地G合里金宸,0.68
北干二苑,金帝高新科技广场,0.61
北干二苑,沁园春公寓,0.54
北干二苑,萧山时代广场,0.44
北干二苑,雍景湾(萧山),0.74
北干二苑,金苑大厦,0.47
北干二苑,绿都世贸广场,0.73
北干二苑,开元名都,0.38
北干二苑,银河商务公馆,0.87
北干二苑,糖朝,0.97
河映云集,云澜天第,0.42
河映云集,上河公元里,0.58
河映云集,金桐雅园,0.95
河映云集,河语光年府,0.64
河映云集,金昌苑,0.91
河映云集,瓜山佳苑,0.9
赞成香颂一期,汇高栢悦中心,0.75
赞成香颂一期,蓝江晶品阁,0.2
赞成香颂一期,绿城蓝庭东区,0.38
赞成香颂一期,海珀华庭,0.68
赞成香颂一期,玖玖国际财富中心,0.94
赞成香颂一期,新希望锦畔云汀,0.61
