POI名称,小区名称,距离
金元宝滨海国际购物中心,嘉德园,0.16
金元宝滨海国际购物中心,枫景园,2.37
金元宝滨海国际购物中心,紫云国际,2.52
金元宝滨海国际购物中心,加孚园,0.32
金元宝滨海国际购物中心,宜昌里,2.5
金元宝滨海国际购物中心,幸福家园（塘沽）,2.52
金元宝滨海国际购物中心,米兰世纪花园,0.97
金元宝滨海国际购物中心,紫云雅苑,2.44
金元宝滨海国际购物中心,延平里,1.78
金元宝滨海国际购物中心,怡园小区,0.63
金元宝滨海国际购物中心,欧风家园,2.76
金元宝滨海国际购物中心,榆竹里,2.22
金元宝滨海国际购物中心,明星里,2.2
金元宝滨海国际购物中心,银座国际公寓,1.29
金元宝滨海国际购物中心,白云小区,1.06
金元宝滨海国际购物中心,傲景苑,1.62
金元宝滨海国际购物中心,阳光花园,0.89
金元宝滨海国际购物中心,吉祥里,2.36
金元宝滨海国际购物中心,怡宁公寓,0.69
金元宝滨海国际购物中心,泰达时代,1.66
金元宝滨海国际购物中心,绿岛公寓,2.69
金元宝滨海国际购物中心,延庆里,1.89
金元宝滨海国际购物中心,蓬仁园,1.13
金元宝滨海国际购物中心,明珠园,1.11
金元宝滨海国际购物中心,荣鑫园,0.87
金元宝滨海国际购物中心,天津国际发展大厦,1.02
金元宝滨海国际购物中心,泰达MSD佰席,1.73
金元宝滨海国际购物中心,贻和花园,1.95
金元宝滨海国际购物中心,康隆苑,0.73
金元宝滨海国际购物中心,贻成大厦,2.47
金元宝滨海国际购物中心,贻东园,1.62
金元宝滨海国际购物中心,捷达园,0.48
金元宝滨海国际购物中心,秀谷阳光,2.53
金元宝滨海国际购物中心,雅都天元居,1.5
金元宝滨海国际购物中心,恂园西里,0.36
金元宝滨海国际购物中心,东风里(塘沽区),2.33
金元宝滨海国际购物中心,民泰里,2.25
红桥区实验小学,金丰公寓,2.76
红桥区实验小学,春风里(红桥区),0.92
红桥区实验小学,同德楼,0.77
红桥区实验小学,泉富家园,0.32
红桥区实验小学,丁字沽十一段,0.41
红桥区实验小学,正源公寓,2.5
红桥区实验小学,海源公寓,2.06
红桥区实验小学,北岸中心,1.25
红桥区实验小学,平昌楼,0.51
红桥区实验小学,隆成家园,2.6
红桥区实验小学,子牙里,1.44
红桥区实验小学,和春里,2.24
红桥区实验小学,曙光楼（红桥）,0.8
红桥区实验小学,清源楼,0.8
红桥区实验小学,天物轩宇嘉园,2.63
红桥区实验小学,大成中环城,1.95
红桥区实验小学,洪湖雅园,1.09
红桥区实验小学,泰康花园,2.01
红桥区实验小学,东方楼,1.55
红桥区实验小学,中海十里观澜,2.29
红桥区实验小学,福居公寓南区,0.8
红桥区实验小学,银杏公寓,1.69
红桥区实验小学,丁字沽八段,0.28
红桥区实验小学,康平楼,0.82
红桥区实验小学,福源公寓(红桥),0.44
红桥区实验小学,红原楼,0.6
红桥区实验小学,首创大河公馆,2.92
红桥区实验小学,益春里,2.53
红桥区实验小学,栖霞里,1.62
红桥区实验小学,泰来嘉园,2.25
红桥区实验小学,光荣楼,1.29
红桥区实验小学,瑜峰园,2.36
红桥区实验小学,东锦里,2.59
红桥区实验小学,葆节楼,1.27
红桥区实验小学,丽水苑,0.72
红桥区实验小学,北岳楼,0.86
红桥区实验小学,水竹花园,1.98
红桥区实验小学,子牙南里,1.52
红桥区实验小学,北岸潞园,1.52
红桥区实验小学,东联里,2.65
红桥区实验小学,公元大观,1.76
红桥区实验小学,桃花园南里,1.23
红桥区实验小学,津投城开御河桃源,1.42
红桥区实验小学,盛雅佳苑,1.78
红桥区实验小学,和富里,0.47
红桥区实验小学,金隅金成熙府,2.4
红桥区实验小学,望河楼公寓小区,2.34
红桥区实验小学,风顺公寓,0.95
红桥区实验小学,绥中南楼,1.3
红桥区实验小学,佳平里,2.68
红桥区实验小学,新基业大厦,1.14
红桥区实验小学,红勤楼,1.16
红桥区实验小学,东岳楼,0.75
红桥区实验小学,汇宝名苑,2.87
红桥区实验小学,宜宾楼,0.51
红桥区实验小学,青城楼,1.56
红桥区实验小学,水木天成翠杨园,2.63
红桥区实验小学,西青道楼,2.76
红桥区实验小学,大同门西里,0.95
红桥区实验小学,四新道,0.65
红桥区实验小学,七0七所社区,0.49
红桥区实验小学,水木天成碧杉园,2.96
红桥区实验小学,普天东里,2.84
红桥区实验小学,佳荣里,2.91
红桥区实验小学,长平西里,0.96
红桥区实验小学,长益里,2.97
红桥区实验小学,益鑫里,2.58
红桥区实验小学,启春里,2.89
红桥区实验小学,顺义南里,2.17
红桥区实验小学,五峰南里,1.39
红桥区实验小学,中嘉花园绮水苑,0.96
红桥区实验小学,山海花园,2.7
红桥区实验小学,东华里,2.44
红桥区实验小学,金联公寓,2.87
红桥区实验小学,集平里,1.02
红桥区实验小学,柳成里,1.66
红桥区实验小学,同心楼,0.63
红桥区实验小学,彰武楼,1.12
红桥区实验小学,金苑公寓,2.98
红桥区实验小学,金香里,2.7
红桥区实验小学,佳园北里,2.79
红桥区实验小学,集平东里,1.03
红桥区实验小学,永进楼,1.69
红桥区实验小学,潞河南里,0.45
红桥区实验小学,水木天成望汀园,2.74
红桥区实验小学,绿城錦玉蘭,2.2
红桥区实验小学,金侨云璟,2.69
红桥区实验小学,欧澜家园,1.04
红桥区实验小学,暖香里,2.93
红桥区实验小学,永光楼（红桥）,1.49
红桥区实验小学,东昌里,2.64
红桥区实验小学,清河北里,1.78
红桥区实验小学,水木天成依湖园,2.86
红桥区实验小学,际华园绿道丹庭,2.91
红桥区实验小学,天穆顺义里,2.17
红桥区实验小学,流霞里,2.14
红桥区实验小学,顺义北里,2.39
红桥区实验小学,三江里,2.27
红桥区实验小学,方舟温泉花园,1.94
红桥区实验小学,建平楼,0.16
红桥区实验小学,丽泰园公寓,0.91
红桥区实验小学,普济里,2.08
红桥区实验小学,保寿里,0.81
红桥区实验小学,植物园东里,1.21
红桥区实验小学,金筑家园,2.12
红桥区实验小学,蓬溪楼,0.52
红桥区实验小学,济津楼,1.54
红桥区实验小学,荣泽大厦,3.0
红桥区实验小学,津铁泰苑,2.58
红桥区实验小学,东湖花园,2.78
红桥区实验小学,风采里,0.87
红桥区实验小学,静安北里,2.91
红桥区实验小学,正东公寓,0.27
红桥区实验小学,红光楼,0.65
红桥区实验小学,开源楼,1.16
红桥区实验小学,翠溪园,1.89
红桥区实验小学,子牙东里,1.54
红桥区实验小学,中兴泊仕湾,0.08
红桥区实验小学,物回楼,2.8
红桥区实验小学,桃花园东里,1.33
红桥区实验小学,白玉楼,0.57
红桥区实验小学,东大楼小区,0.47
红桥区实验小学,新城云樾玖璋,2.74
红桥区实验小学,虹都名苑,0.8
红桥区实验小学,首创天阅海河,2.85
红桥区实验小学,草原楼,1.47
红桥区实验小学,新凯东里,1.63
红桥区实验小学,敦煌楼,1.02
红桥区实验小学,东海花园,2.69
红桥区实验小学,天泰公寓,2.7
红桥区实验小学,丁字沽九段,0.36
红桥区实验小学,天和丽园,2.24
红桥区实验小学,涟源里,2.35
红桥区实验小学,星公馆,0.69
红桥区实验小学,龙禧园,2.28
红桥区实验小学,永丰楼(红桥区),1.22
红桥区实验小学,芳草园,2.24
红桥区实验小学,桃花园西里,1.1
红桥区实验小学,银泰公寓,2.13
红桥区实验小学,五峰里,1.19
红桥区实验小学,风屏东里,0.86
红桥区实验小学,本溪花园,1.72
红桥区实验小学,汇川家园,2.82
红桥区实验小学,浩达公寓,2.72
红桥区实验小学,子牙西里,1.33
红桥区实验小学,九和府,2.98
红桥区实验小学,金侨公园壹号,1.56
红桥区实验小学,新村十段小区,0.58
红桥区实验小学,翠山楼,1.63
红桥区实验小学,风尚公寓,0.89
红桥区实验小学,佳庆里,2.31
红桥区实验小学,涟源路24号,2.32
红桥区实验小学,南坪楼,0.58
红桥区实验小学,中嘉花园怡水苑,0.96
红桥区实验小学,吉泰花园,2.7
红桥区实验小学,中冶德贤华府,2.76
红桥区实验小学,佳园南里,2.55
红桥区实验小学,恒春里,2.42
红桥区实验小学,民畅园,2.59
红桥区实验小学,宏泰公寓,0.57
红桥区实验小学,风屏公寓,0.75
红桥区实验小学,云阳楼,0.53
红桥区实验小学,柳滩东里,1.48
红桥区实验小学,长平里,0.88
红桥区实验小学,丁字沽十三段,0.83
红桥区实验小学,盛泰嘉园,2.35
红桥区实验小学,首创大河宸章,2.82
红桥区实验小学,佳园东里（东区）,2.31
红桥区实验小学,修配大楼,2.8
红桥区实验小学,开源东里,1.05
红桥区实验小学,观锦,2.17
红桥区实验小学,盛和家园,2.82
红桥区实验小学,金玖家园,2.21
红桥区实验小学,绥中楼,1.43
红桥区实验小学,裕泰家园,2.79
红桥区实验小学,红旗楼,0.52
红桥区实验小学,水木天成临湾园,2.52
红桥区实验小学,北洋花园东悦里,2.23
红桥区实验小学,泛洋大厦,1.28
红桥区实验小学,人民家园,2.68
红桥区实验小学,万隆桃香园,1.87
红桥区实验小学,东秀里,2.46
红桥区实验小学,中嘉花园澄水苑,1.08
红桥区实验小学,水运名苑,2.28
红桥区实验小学,仁恒星源世纪,1.04
红桥区实验小学,程光楼,0.98
红桥区实验小学,金隅金成府,2.42
红桥区实验小学,益博公寓,1.02
红桥区实验小学,福源楼（红桥区）,0.38
红桥区实验小学,天骄公寓,0.97
红桥区实验小学,湘潭东里,2.04
红桥区实验小学,福居公寓北区,0.77
红桥区实验小学,普天南里,2.56
红桥区实验小学,天穆东苑,2.09
红桥区实验小学,宁城楼,1.09
红桥区实验小学,安岳楼,0.67
红桥区实验小学,千禧园东区,2.91
红桥区实验小学,联谊里,2.65
红桥区实验小学,佳欣里,2.77
红桥区实验小学,本溪楼,1.4
红桥区实验小学,丁字沽十二段,0.71
红桥区实验小学,松楠楼,1.34
红桥区实验小学,风貌里小区,1.08
红桥区实验小学,青春里,1.57
红桥区实验小学,辰发花园,1.55
红桥区实验小学,润泰园,2.74
红桥区实验小学,礼貌东里,1.12
红桥区实验小学,天穆东里,1.67
红桥区实验小学,四段大楼,0.37
红桥区实验小学,暖洋家园,2.77
红桥区实验小学,湘潭里,2.12
红桥区实验小学,建设里,2.75
红桥区实验小学,六段,0.36
红桥区实验小学,宇星西里,1.01
红桥区实验小学,佳丽园,2.33
红桥区实验小学,创意园,2.11
红桥区实验小学,水木天成阁林园,2.79
红桥区实验小学,南充楼,0.54
红桥区实验小学,胜灾楼,0.46
红桥区实验小学,金潞园,1.02
红桥区实验小学,奋斗楼,1.13
红桥区实验小学,风采南里,0.76
红桥区实验小学,和平新村,2.8
红桥区实验小学,喜峰嘉园,2.51
红桥区实验小学,锦西里,1.89
红桥区实验小学,泰来里,2.16
红桥区实验小学,风光里,1.14
红桥区实验小学,飞岳楼,0.77
红桥区实验小学,春至里,0.74
红桥区实验小学,中嘉花园秋水苑,1.15
红桥区实验小学,铜川里,2.72
红桥区实验小学,普天里,2.52
红桥区实验小学,程光里,0.93
红桥区实验小学,祥居公寓,0.85
红桥区实验小学,亚运里,1.36
红桥区实验小学,连富里,0.44
红桥区实验小学,兴城里,0.77
红桥区实验小学,礼貌楼,1.03
红桥区实验小学,昌图楼,1.42
红桥区实验小学,永明里(红桥区),1.11
红桥区实验小学,裕国楼,1.47
红桥区实验小学,萍乡楼,1.2
红桥区实验小学,西河名邸,2.12
红桥区实验小学,锦西南里,1.91
红桥区实验小学,东明里,2.82
红桥区实验小学,仁爱花园,2.68
红桥区实验小学,中江楼,0.64
红桥区实验小学,梁平楼,0.69
红桥区实验小学,金忠公寓,1.55
红桥区实验小学,畅景家园,0.13
红桥区实验小学,潞河园,0.67
红桥区实验小学,永明西里,1.29
红桥区实验小学,洪湖里天宝公寓,0.96
红桥区实验小学,格调艺术领地,2.89
红桥区实验小学,中嘉花园秀水苑,1.12
红桥区实验小学,桓仁楼,1.56
红桥区实验小学,虹溪公寓,0.9
红桥区实验小学,河怡花园,2.35
红桥区实验小学,愿景家园,0.29
红桥区实验小学,七段大楼,0.17
红桥区实验小学,佳春里,2.73
红桥区实验小学,龙曜城,2.04
红桥区实验小学,凤城楼,0.9
红桥区实验小学,洛川里,2.95
红桥区实验小学,勤俭道,0.47
红桥区实验小学,悦春里,2.53
宝坻一中初中校区,新瑞花园,0.99
宝坻一中初中校区,宝税公寓,2.24
宝坻一中初中校区,城市艺墅,2.33
宝坻一中初中校区,红星城市广场,1.14
宝坻一中初中校区,宝坻·万科城市之光,1.27
宝坻一中初中校区,剑桥郡博睿园 ,1.07
宝坻一中初中校区,化肥厂楼,1.78
宝坻一中初中校区,泰泽花園,1.86
宝坻一中初中校区,祥和家园(宝坻),1.43
宝坻一中初中校区,蓝水湾花园东区,2.56
宝坻一中初中校区,天泰园,0.28
宝坻一中初中校区,景瑞悦府,0.86
宝坻一中初中校区,裕园,2.09
宝坻一中初中校区,水暖城,1.5
宝坻一中初中校区,挹青园,1.37
宝坻一中初中校区,北海楼,1.16
宝坻一中初中校区,绿景家園,1.45
宝坻一中初中校区,万锦府,1.44
宝坻一中初中校区,蓝水湾花园西区,2.76
宝坻一中初中校区,绿色家园,2.07
宝坻一中初中校区,中航瑞祥花园,2.56
宝坻一中初中校区,天锦园小区,0.39
宝坻一中初中校区,天宝福苑,1.01
宝坻一中初中校区,金玉四园,2.76
宝坻一中初中校区,典雅居,1.73
宝坻一中初中校区,碧桂园时光小镇,1.67
宝坻一中初中校区,阳光城博智园,0.74
宝坻一中初中校区,灵秀丽苑,1.38
宝坻一中初中校区,裕和家园,2.87
宝坻一中初中校区,领秀新天地,1.49
宝坻一中初中校区,龙第世家花园,0.54
宝坻一中初中校区,宝鑫景苑,0.99
宝坻一中初中校区,东城原居,1.52
宝坻一中初中校区,钰鑫园,1.99
宝坻一中初中校区,和远领居,0.69
宝坻一中初中校区,农垦含章宝邸,2.96
宝坻一中初中校区,瑞景花园,2.36
宝坻一中初中校区,酒厂楼,2.33
宝坻一中初中校区,圣缇湾,1.92
宝坻一中初中校区,天馨家園,0.43
宝坻一中初中校区,乐治新邸,2.86
宝坻一中初中校区,翡翠湾花园,1.37
宝坻一中初中校区,中保财政楼,1.92
宝坻一中初中校区,宝境栖园,0.42
宝坻一中初中校区,凯瑞国际,1.21
宝坻一中初中校区,金玉五园,2.63
宝坻一中初中校区,星河传奇,1.47
大港万达广场B座,三春里,2.8
大港万达广场B座,海明园东区,2.63
大港万达广场B座,香逸园,0.64
大港万达广场B座,世纪嘉园,2.01
大港万达广场B座,格调梁园,2.15
大港万达广场B座,天晟华府,1.65
大港万达广场B座,福锦园,1.63
大港万达广场B座,兴慧里,2.13
大港万达广场B座,晨晖里,2.39
大港万达广场B座,凯旋苑,1.08
大港万达广场B座,海花园,1.13
大港万达广场B座,海天园,2.07
大港万达广场B座,福波园,1.42
大港万达广场B座,新城港东府,0.84
大港万达广场B座,港明里,2.69
大港万达广场B座,福芳园,1.37
大港万达广场B座,兴安里,2.0
大港万达广场B座,兴旺里(大港区),1.78
大港万达广场B座,福满园,1.11
大港万达广场B座,华都庭苑,1.75
大港万达广场B座,小岛壹号,1.65
大港万达广场B座,振华里(滨海新区),2.53
大港万达广场B座,海滨园,1.72
大港万达广场B座,天瑞庭苑,1.94
大港万达广场B座,春晖里(大港区),1.69
大港万达广场B座,海邻园,2.32
大港万达广场B座,海明园西区,2.58
大港万达广场B座,福渔园东区,0.78
大港万达广场B座,兴盛里(大港区),1.75
大港万达广场B座,泰达印象,2.47
大港万达广场B座,天逸庭苑,2.32
大港万达广场B座,海保园,1.37
大港万达广场B座,海宁园,2.19
大港万达广场B座,世纪花园(大港区),1.41
大港万达广场B座,海韵园,2.14
大港万达广场B座,福润园,1.0
大港万达广场B座,福汇园,1.13
大港万达广场B座,甘建投·百郦公馆,2.85
大港万达广场B座,七邻里北区,2.98
大港万达广场B座,福绣园,0.92
大港万达广场B座,海都园,2.31
大港万达广场B座,朝晖北里,1.64
大港万达广场B座,古林里,1.17
大港万达广场B座,振业里,2.28
大港万达广场B座,润泽园,1.38
大港万达广场B座,春晖北里,1.79
大港万达广场B座,汇德园,1.82
大港万达广场B座,华美学府壹号院,2.03
大港万达广场B座,睦林里,1.08
大港万达广场B座,海景园,1.88
大港万达广场B座,汇丰园,1.29
大港万达广场B座,朝晖里(大港区),1.46
大港万达广场B座,海旋园,2.94
大港万达广场B座,阳春里,1.75
大港万达广场B座,港星里,2.9
大港万达广场B座,滨城嘉合,2.05
大港万达广场B座,开元里,2.91
大港万达广场B座,福源花园,1.17
大港万达广场B座,海信园,2.16
大港万达广场B座,海通园,2.62
大港万达广场B座,福津园,0.53
大港万达广场B座,阳光美域,2.2
大港万达广场B座,经纬海华园,2.81
大港万达广场B座,晨晖北里,2.26
大港万达广场B座,双安里,2.78
大港万达广场B座,福欣园,1.35
大港万达广场B座,海川园,1.82
大港万达广场B座,福华里（滨海新区）,2.16
大港万达广场B座,福港园(大港区),0.81
大港万达广场B座,福泽园(滨海新区),0.65
大港万达广场B座,兴德里,1.92
大港万达广场B座,重阳里,2.18
大港万达广场B座,曙光里(大港区),2.84
大港万达广场B座,海诚园,2.34
大港万达广场B座,福雅园,1.92
大港万达广场B座,海榕园,2.99
大胡同商业中心服装2区,依丽园,2.72
大胡同商业中心服装2区,郁园里,3.0
大胡同商业中心服装2区,滨渠里,1.29
大胡同商业中心服装2区,保盈里,2.91
大胡同商业中心服装2区,地华里,2.6
大胡同商业中心服装2区,万科西华府,0.72
大胡同商业中心服装2区,侯台花园,1.22
大胡同商业中心服装2区,溪茗园,2.82
大胡同商业中心服装2区,格调松间南里,2.61
大胡同商业中心服装2区,瑞丽园,2.94
大胡同商业中心服装2区,盈江西里,2.82
大胡同商业中心服装2区,王顶堤馨苑,0.73
大胡同商业中心服装2区,日华里,2.69
大胡同商业中心服装2区,绿城·水西雲庐,1.89
大胡同商业中心服装2区,碧水家园D区,0.33
大胡同商业中心服装2区,招商江山玺,2.96
大胡同商业中心服装2区,依润园,2.8
大胡同商业中心服装2区,利海家园,2.26
大胡同商业中心服装2区,保利拾光年,2.15
大胡同商业中心服装2区,瑞丰花园,1.78
大胡同商业中心服装2区,麦迪逊,2.46
大胡同商业中心服装2区,堤翠家园,2.97
大胡同商业中心服装2区,华亭丽园,2.71
大胡同商业中心服装2区,云锦世家郦景园,2.79
大胡同商业中心服装2区,景瑞誉璟天地,1.74
